bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
229.794,239.124,211.975,229.637,2020-09-22,231.995,240.953,213.941,233.289,230.8945,240.0385,212.958,231.463,3.651999999999987
228.502,254.55,211.71,214.025,2020-09-23,231.314,256.121,213.54,216.087,229.908,255.3355,212.625,215.056,2.0619999999999834
212.738,230.562,186.595,226.785,2020-09-24,215.159,232.196,188.632,229.055,213.9485,231.379,187.6135,227.92,2.2700000000000102
224.942,235.766,221.757,228.659,2020-09-25,229.495,237.433,223.694,230.874,227.2185,236.5995,222.7255,229.7665,2.2150000000000034
228.659,228.659,228.659,228.659,2020-09-26,230.874,230.874,230.874,230.874,229.7665,229.7665,229.7665,229.7665,2.2150000000000034
228.659,228.659,228.659,228.659,2020-09-27,230.874,230.874,230.874,230.874,229.7665,229.7665,229.7665,229.7665,2.2150000000000034
230.034,259.267,223.036,252.675,2020-09-28,233.708,261.215,227.378,255.149,231.871,260.241,225.207,253.912,2.473999999999989
252.625,272.037,244.777,260.199,2020-09-29,255.446,277.159,246.554,262.227,254.0355,274.598,245.6655,261.213,2.027999999999963
260.154,278.041,241.84,252.591,2020-09-30,261.019,279.576,243.567,252.806,260.5865,278.8085,242.7035,252.6985,0.2150000000000034
252.765,277.773,236.667,244.072,2020-10-01,254.103,281.312,238.244,244.906,253.434,279.5425,237.4555,244.489,0.8340000000000032
241.581,263.439,230.331,235.583,2020-10-02,245.311,263.923,231.904,237.335,243.446,263.68100000000004,231.1175,236.459,1.7520000000000095
235.583,235.583,235.583,235.583,2020-10-03,237.335,237.335,237.335,237.335,236.459,236.459,236.459,236.459,1.7520000000000095
235.583,235.583,235.583,235.583,2020-10-04,237.335,237.335,237.335,237.335,236.459,236.459,236.459,236.459,1.7520000000000095
227.898,245.31,227.009,236.922,2020-10-05,229.946,247.207,228.972,239.482,228.922,246.2585,227.9905,238.202,2.5600000000000023
239.127,247.922,235.932,242.032,2020-10-06,241.032,249.31,238.021,243.793,240.0795,248.616,236.9765,242.9125,1.7609999999999957
242.431,252.062,239.784,246.49,2020-10-07,243.847,253.671,240.682,248.716,243.139,252.8665,240.233,247.603,2.225999999999999
246.428,249.407,238.653,240.215,2020-10-08,250.285,251.516,240.047,242.195,248.3565,250.4615,239.35,241.205,1.9799999999999895
241.444,245.547,234.183,238.677,2020-10-09,243.171,247.312,235.605,240.678,242.3075,246.4295,234.894,239.6775,2.0010000000000048
238.677,238.677,238.677,238.677,2020-10-10,240.678,240.678,240.678,240.678,239.6775,239.6775,239.6775,239.6775,2.0010000000000048
238.677,238.677,238.677,238.677,2020-10-11,240.678,240.678,240.678,240.678,239.6775,239.6775,239.6775,239.6775,2.0010000000000048
241.708,253.107,235.053,244.291,2020-10-12,244.972,254.653,240.972,246.341,243.34,253.88,238.0125,245.316,2.050000000000012
244.032,251.816,239.843,249.738,2020-10-13,245.744,257.976,244.786,251.522,244.888,254.896,242.3145,250.63,1.7839999999999918
248.876,253.189,231.078,241.501,2020-10-14,250.906,260.192,231.88,243.251,249.891,256.6905,231.479,242.376,1.75
241.171,256.217,230.15,240.484,2020-10-15,242.775,266.732,231.621,241.506,241.973,261.47450000000003,230.8855,240.995,1.0219999999999914
240.52,245.72,236.34,240.882,2020-10-16,241.818,247.302,238.491,242.83,241.169,246.511,237.4155,241.856,1.9480000000000075
240.882,240.882,240.882,240.882,2020-10-17,242.83,242.83,242.83,242.83,241.856,241.856,241.856,241.856,1.9480000000000075
240.882,240.882,240.882,240.882,2020-10-18,242.83,242.83,242.83,242.83,241.856,241.856,241.856,241.856,1.9480000000000075
240.912,249.74,238.196,246.772,2020-10-19,243.979,251.159,238.539,248.355,242.4455,250.4495,238.3675,247.5635,1.5829999999999984
244.847,252.322,233.48,251.689,2020-10-20,246.384,253.93,233.988,253.032,245.6155,253.126,233.734,252.3605,1.3430000000000175
251.285,271.569,248.14,268.187,2020-10-21,253.057,273.281,249.954,270.479,252.171,272.425,249.047,269.333,2.291999999999973
269.546,300.92,246.584,295.771,2020-10-22,271.951,302.288,247.139,297.692,270.74850000000004,301.60400000000004,246.8615,296.7315,1.9209999999999925
295.828,304.065,260.976,264.237,2020-10-23,298.041,309.611,262.543,265.036,296.9345,306.838,261.7595,264.6365,0.7989999999999782
264.237,264.237,264.237,264.237,2020-10-24,265.036,265.036,265.036,265.036,264.6365,264.6365,264.6365,264.6365,0.7989999999999782
264.237,264.237,264.237,264.237,2020-10-25,265.036,265.036,265.036,265.036,264.6365,264.6365,264.6365,264.6365,0.7989999999999782
261.345,264.445,243.322,248.173,2020-10-26,268.16,268.707,244.843,249.786,264.75250000000005,266.576,244.0825,248.9795,1.6129999999999995
262.929,269.796,260.743,263.022,2020-10-27,265.3,271.077,262.626,263.937,264.1145,270.4365,261.6845,263.47950000000003,0.9150000000000204
262.096,274.316,252.753,272.405,2020-10-28,263.719,276.388,254.175,273.819,262.9075,275.352,253.464,273.112,1.414000000000044
277.647,278.819,261.279,262.829,2020-10-29,278.062,280.833,262.633,264.164,277.85450000000003,279.826,261.956,263.4965,1.3349999999999795
262.449,271.066,240.217,248.986,2020-10-30,264.041,273.214,241.614,251.154,263.245,272.14,240.9155,250.07,2.1680000000000064
248.986,248.986,248.986,248.986,2020-10-31,251.154,251.154,251.154,251.154,250.07,250.07,250.07,250.07,2.1680000000000064
248.986,248.986,248.986,248.986,2020-11-01,251.154,251.154,251.154,251.154,250.07,250.07,250.07,250.07,2.1680000000000064
254.512,279.174,245.69,252.066,2020-11-02,255.175,280.05,247.149,254.051,254.8435,279.612,246.4195,253.0585,1.9849999999999848
251.263,264.566,242.342,262.34,2020-11-03,253.217,265.87,242.957,263.977,252.24,265.218,242.6495,263.1585,1.6370000000000005
260.97,274.172,260.853,262.949,2020-11-04,263.215,276.145,262.397,264.802,262.0925,275.1585,261.625,263.8755,1.8530000000000089
262.739,271.202,258.761,261.835,2020-11-05,265.12,273.188,260.278,262.67,263.9295,272.195,259.5195,262.2525,0.8350000000000364
262.076,269.91,256.675,264.727,2020-11-06,264.543,271.308,258.873,266.684,263.3095,270.60900000000004,257.774,265.70550000000003,1.9570000000000505
264.727,264.727,264.727,264.727,2020-11-07,266.684,266.684,266.684,266.684,265.70550000000003,265.70550000000003,265.70550000000003,265.70550000000003,1.9570000000000505
264.727,264.727,264.727,264.727,2020-11-08,266.684,266.684,266.684,266.684,265.70550000000003,265.70550000000003,265.70550000000003,265.70550000000003,1.9570000000000505
266.037,275.332,237.67,245.505,2020-11-09,268.765,281.786,239.205,245.835,267.40099999999995,278.559,238.4375,245.67,0.3300000000000125
239.139,256.59,228.667,235.356,2020-11-10,241.028,260.017,230.261,237.286,240.0835,258.3035,229.464,236.321,1.9300000000000068
234.937,246.21,230.658,240.845,2020-11-11,236.422,248.111,232.839,242.674,235.6795,247.1605,231.7485,241.7595,1.829000000000008
241.228,249.571,230.845,234.479,2020-11-12,243.262,253.503,232.244,236.99,242.245,251.537,231.5445,235.73450000000005,2.510999999999996
234.262,252.117,230.975,233.933,2020-11-13,236.436,254.199,232.41,235.434,235.349,253.158,231.6925,234.6835,1.5010000000000048
233.933,233.933,233.933,233.933,2020-11-14,235.434,235.434,235.434,235.434,234.6835,234.6835,234.6835,234.6835,1.5010000000000048
233.933,233.933,233.933,233.933,2020-11-15,235.434,235.434,235.434,235.434,234.6835,234.6835,234.6835,234.6835,1.5010000000000048
