bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
1.2447,1.2459,1.236,1.243,2024-05-15,1.246,1.249,1.2413,1.2453,1.24535,1.2474500000000002,1.23865,1.24415,0.0022999999999999
1.2431,1.2501,1.2402,1.2496,2024-05-16,1.2453,1.2547,1.2419,1.2525,1.2442000000000002,1.2524,1.24105,1.25105,0.0028999999999999
1.2501,1.2527,1.2453,1.2498,2024-05-17,1.2526,1.2539,1.2464,1.2521,1.25135,1.2533,1.24585,1.25095,0.0022999999999999
1.2498,1.2498,1.2498,1.2498,2024-05-18,1.2521,1.2521,1.2521,1.2521,1.25095,1.25095,1.25095,1.25095,0.0022999999999999
1.2461,1.2492,1.2439,1.2491,2024-05-19,1.2553,1.2579,1.2502,1.2511,1.2507,1.2535500000000002,1.24705,1.2501000000000002,0.002
1.2492,1.2532,1.2429,1.2517,2024-05-20,1.2511,1.2575,1.2456,1.2539,1.25015,1.25535,1.24425,1.2528,0.0021999999999999
1.2518,1.2614,1.2457,1.2597,2024-05-21,1.2537,1.2648,1.2472,1.2634,1.25275,1.2631,1.24645,1.2615500000000002,0.0037
1.2598,1.2611,1.2453,1.2471,2024-05-22,1.2633,1.2646,1.2489,1.2492,1.2615500000000002,1.26285,1.2471,1.24815,0.0020999999999999
1.2472,1.2476,1.2322,1.2374,2024-05-23,1.2492,1.2494,1.237,1.2395,1.2482000000000002,1.2485,1.2346,1.23845,0.0020999999999999
1.2374,1.2426,1.2295,1.2301,2024-05-24,1.2392,1.2439,1.2325,1.2369,1.2383000000000002,1.24325,1.231,1.2335,0.0068000000000001
1.2301,1.2301,1.2301,1.2301,2024-05-25,1.2369,1.2369,1.2369,1.2369,1.2335,1.2335,1.2335,1.2335,0.0068000000000001
1.2293,1.2331,1.2273,1.2321,2024-05-26,1.2379,1.2405,1.2334,1.2338,1.2336,1.2368,1.23035,1.23295,0.0017
1.2321,1.2421,1.2299,1.2359,2024-05-27,1.2339,1.2442,1.2327,1.2381,1.233,1.24315,1.2313,1.237,0.0021999999999999
1.2361,1.2423,1.2302,1.242,2024-05-28,1.2381,1.2476,1.2313,1.2443,1.2371,1.24495,1.23075,1.24315,0.0022999999999999
1.2422,1.2499,1.2365,1.2395,2024-05-29,1.244,1.2512,1.2403,1.2419,1.2431,1.25055,1.2384,1.2407,0.0023999999999999
1.2397,1.2414,1.2134,1.218,2024-05-30,1.2419,1.2431,1.2169,1.2205,1.2408,1.24225,1.21515,1.21925,0.0024999999999999
1.218,1.222,1.2057,1.2057,2024-05-31,1.2204,1.2239,1.2078,1.2154,1.2191999999999998,1.22295,1.20675,1.21055,0.0097
1.2057,1.2057,1.2057,1.2057,2024-06-01,1.2154,1.2154,1.2154,1.2154,1.21055,1.21055,1.21055,1.21055,0.0097
1.2026,1.2103,1.2022,1.2102,2024-06-02,1.2166,1.2166,1.2094,1.2121,1.2096,1.21345,1.2058,1.21115,0.0019
1.2102,1.2258,1.2069,1.219,2024-06-03,1.212,1.2285,1.2082,1.2225,1.2111,1.22715,1.20755,1.22075,0.0034999999999998
1.219,1.2225,1.2074,1.2117,2024-06-04,1.2227,1.2237,1.2104,1.2141,1.22085,1.2231,1.2089,1.2129,0.0023999999999999
1.2117,1.2174,1.1897,1.1945,2024-06-05,1.214,1.2185,1.1936,1.1967,1.21285,1.21795,1.19165,1.1956,0.0022000000000002
1.1946,1.1996,1.1827,1.1878,2024-06-06,1.1967,1.2008,1.1874,1.1897,1.19565,1.2002000000000002,1.18505,1.18875,0.0019
1.1878,1.2113,1.1873,1.2029,2024-06-07,1.1897,1.2128,1.1893,1.211,1.18875,1.21205,1.1883,1.20695,0.0080999999999999
1.2029,1.2029,1.2029,1.2029,2024-06-08,1.211,1.211,1.211,1.211,1.20695,1.20695,1.20695,1.20695,0.0080999999999999
1.2059,1.2088,1.2023,1.2083,2024-06-09,1.2188,1.2188,1.2109,1.212,1.21235,1.2138,1.2066,1.21015,0.0037
1.2077,1.2255,1.2073,1.2191,2024-06-10,1.212,1.2266,1.2108,1.223,1.20985,1.22605,1.20905,1.22105,0.0039
1.2191,1.2412,1.2173,1.2398,2024-06-11,1.2231,1.2447,1.2195,1.2418,1.2211,1.24295,1.2184,1.2408,0.002
1.2397,1.2424,1.2255,1.239,2024-06-12,1.2417,1.2507,1.2292,1.2416,1.2407,1.24655,1.22735,1.2403,0.0025999999999999
1.239,1.2497,1.237,1.2481,2024-06-13,1.2419,1.2556,1.2383,1.2513,1.24045,1.25265,1.23765,1.2497,0.0032
1.2484,1.2629,1.2458,1.251,2024-06-14,1.2511,1.2644,1.248,1.2626,1.24975,1.26365,1.2469,1.2568,0.0116
1.251,1.251,1.251,1.251,2024-06-15,1.2626,1.2626,1.2626,1.2626,1.2568,1.2568,1.2568,1.2568,0.0116
1.2474,1.2572,1.2474,1.257,2024-06-16,1.2644,1.2644,1.258,1.2601,1.2559,1.2608,1.2527,1.25855,0.0031000000000001
1.257,1.2658,1.2529,1.2604,2024-06-17,1.2601,1.2693,1.2559,1.2626,1.25855,1.26755,1.2544,1.2614999999999998,0.0021999999999999
1.2603,1.2857,1.2583,1.281,2024-06-18,1.2627,1.2934,1.2607,1.2831,1.2614999999999998,1.2895500000000002,1.2595,1.28205,0.0020999999999999
1.2809,1.2926,1.2798,1.2908,2024-06-19,1.2831,1.2971,1.2824,1.2931,1.282,1.2948499999999998,1.2811,1.29195,0.0022999999999999
1.2908,1.2946,1.2759,1.2929,2024-06-20,1.293,1.2994,1.2773,1.2951,1.2919,1.2970000000000002,1.2766000000000002,1.294,0.0021999999999999
1.2931,1.3065,1.2899,1.2945,2024-06-21,1.2951,1.3076,1.2919,1.3012,1.2940999999999998,1.30705,1.2909000000000002,1.29785,0.0066999999999999
