bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
0.07998,0.08267,0.07816,0.08062,2023-03-14,0.08252,0.08521,0.0807,0.08317,0.0812499999999999,0.0839399999999999,0.07943,0.081895,0.0025499999999999
0.08058,0.08164,0.07651,0.07739,2023-03-15,0.08312,0.08419,0.07909,0.07997,0.08185,0.082915,0.0778,0.07868,0.0025799999999999
0.0774,0.07945,0.07685,0.0779,2023-03-16,0.07998,0.08203,0.07942,0.08046,0.07869,0.08074,0.078135,0.07918,0.00256
0.07789,0.08084,0.07715,0.07894,2023-03-17,0.08046,0.0834,0.07972,0.08155,0.079175,0.08212,0.078435,0.080245,0.00261
0.07894,0.07894,0.07894,0.07894,2023-03-18,0.08155,0.08155,0.08155,0.08155,0.080245,0.080245,0.080245,0.080245,0.00261
0.0807,0.08194,0.08014,0.08035,2023-03-19,0.08326,0.08509,0.08269,0.0829,0.08198,0.083515,0.081415,0.081625,0.0025499999999999
0.08036,0.0825,0.07862,0.07883,2023-03-20,0.08291,0.08505,0.08117,0.08138,0.081635,0.083775,0.079895,0.080105,0.0025499999999999
0.07881,0.09143,0.07786,0.08842,2023-03-21,0.08136,0.09396,0.08041,0.09096,0.080085,0.092695,0.079135,0.0896899999999999,0.00254
0.08833,0.08901,0.07951,0.08182,2023-03-22,0.09086,0.09155,0.08202,0.08433,0.089595,0.09028,0.080765,0.083075,0.0025099999999999
0.08181,0.0848,0.08073,0.08354,2023-03-23,0.08433,0.08731,0.08324,0.08606,0.08307,0.0860549999999999,0.081985,0.0848,0.0025199999999999
0.08355,0.08442,0.07914,0.08127,2023-03-24,0.08607,0.08695,0.08167,0.08384,0.08481,0.085685,0.080405,0.0825549999999999,0.00257
0.08127,0.08127,0.08127,0.08127,2023-03-25,0.08384,0.08384,0.08384,0.08384,0.0825549999999999,0.0825549999999999,0.0825549999999999,0.0825549999999999,0.00257
0.08397,0.085,0.08336,0.0834,2023-03-26,0.08651,0.08766,0.08593,0.08593,0.08524,0.08633,0.084645,0.084665,0.00253
0.0834,0.08707,0.08126,0.08376,2023-03-27,0.08594,0.0896,0.08379,0.08629,0.08467,0.088335,0.082525,0.085025,0.00253
0.08376,0.08966,0.08221,0.08826,2023-03-28,0.08628,0.0924,0.08474,0.09078,0.08502,0.09103,0.083475,0.08952,0.0025199999999999
