bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
417.999,420.799,415.991,416.095,2011-01-03,419.101,421.917,416.303,416.606,418.55,421.358,416.147,416.3505,0.5109999999999673
415.392,416.599,401.397,404.197,2011-01-04,416.0,417.006,401.701,404.501,415.696,416.8025,401.549,404.349,0.3039999999999736
401.599,402.5,392.697,400.297,2011-01-05,403.001,403.301,392.802,400.802,402.3,402.9005,392.7495,400.5495,0.5049999999999955
401.0,409.0,400.893,403.995,2011-01-06,403.112,409.407,403.104,404.507,402.056,409.2035,401.9985,404.251,0.5120000000000005
403.978,407.897,398.299,399.3,2011-01-07,406.218,408.409,398.603,399.4,405.098,408.153,398.451,399.35,0.0999999999999659
399.3,399.3,399.3,399.3,2011-01-08,399.4,399.4,399.4,399.4,399.35,399.35,399.35,399.35,0.0999999999999659
399.3,399.3,399.3,399.3,2011-01-09,399.4,399.4,399.4,399.4,399.35,399.35,399.35,399.35,0.0999999999999659
398.29,399.7,390.296,395.192,2011-01-10,398.904,400.004,390.501,395.801,398.597,399.852,390.3985,395.4965,0.6089999999999804
395.691,409.0,395.497,406.596,2011-01-11,397.117,409.101,395.802,407.006,396.404,409.0505,395.6495,406.801,0.4099999999999681
408.1,410.999,402.198,403.396,2011-01-12,409.008,411.405,402.3,403.805,408.554,411.202,402.249,403.6005,0.4089999999999918
404.575,406.799,402.498,403.493,2011-01-13,406.303,407.304,402.702,404.104,405.439,407.0515,402.6,403.7985,0.61099999999999
403.497,404.999,397.399,399.698,2011-01-14,403.902,405.903,397.501,400.105,403.6995,405.451,397.45,399.9015,0.4070000000000391
399.698,399.698,399.698,399.698,2011-01-15,400.105,400.105,400.105,400.105,399.9015,399.9015,399.9015,399.9015,0.4070000000000391
399.698,399.698,399.698,399.698,2011-01-16,400.105,400.105,400.105,400.105,399.9015,399.9015,399.9015,399.9015,0.4070000000000391
399.694,401.0,388.894,394.696,2011-01-17,400.613,401.901,389.001,395.302,400.1535,401.4505,388.9475,394.999,0.6059999999999945
396.999,401.6,392.595,392.999,2011-01-18,397.301,401.703,392.8,393.405,397.15,401.6515,392.6975,393.202,0.405999999999949
399.994,400.9,372.696,372.796,2011-01-19,400.903,401.304,372.8,373.104,400.4485,401.102,372.7480000000001,372.95,0.3079999999999927
373.0,374.699,364.99,374.498,2011-01-20,372.502,374.905,365.102,374.901,372.751,374.802,365.046,374.6995,0.40300000000002
377.498,381.4,374.595,376.997,2011-01-21,378.005,381.704,375.002,377.301,377.7515,381.552,374.7985,377.149,0.3039999999999736
376.997,376.997,376.997,376.997,2011-01-22,377.301,377.301,377.301,377.301,377.149,377.149,377.149,377.149,0.3039999999999736
376.997,376.997,376.997,376.997,2011-01-23,377.301,377.301,377.301,377.301,377.149,377.149,377.149,377.149,0.3039999999999736
380.494,388.699,380.087,387.099,2011-01-24,381.406,389.202,380.406,387.201,380.9500000000001,388.9505,380.2465,387.15,0.1020000000000322
389.6,395.096,386.392,390.097,2011-01-25,390.013,395.506,386.8,390.803,389.8065,395.301,386.596,390.45,0.7060000000000173
393.6,395.399,390.795,394.399,2011-01-26,394.301,395.506,390.901,394.5,393.9505,395.4525,390.848,394.4495,0.100999999999999
391.995,395.6,388.99,389.494,2011-01-27,392.901,396.11,389.104,389.605,392.448,395.855,389.047,389.5495,0.11099999999999
389.398,390.095,383.595,385.099,2011-01-28,389.601,390.515,383.7,385.809,389.4995,390.305,383.6475,385.454,0.7100000000000364
385.099,385.099,385.099,385.099,2011-01-29,385.809,385.809,385.809,385.809,385.454,385.454,385.454,385.454,0.7100000000000364
385.099,385.099,385.099,385.099,2011-01-30,385.809,385.809,385.809,385.809,385.454,385.454,385.454,385.454,0.7100000000000364
382.991,382.991,375.182,378.598,2011-01-31,383.231,383.811,376.001,379.002,383.111,383.401,375.5915,378.8,0.4039999999999963
379.094,384.8,377.997,383.499,2011-02-01,380.303,384.901,378.302,383.6,379.6985,384.8505,378.1495,383.5495,0.100999999999999
384.899,389.397,380.694,382.2,2011-02-02,385.513,389.702,381.001,382.402,385.206,389.5495,380.8475,382.301,0.2019999999999981
382.198,387.2,378.692,387.2,2011-02-03,383.923,387.501,379.001,387.401,383.0605,387.3505,378.8465,387.3005,0.2010000000000218
387.293,389.099,380.698,382.0,2011-02-04,387.608,389.401,381.0,382.101,387.4505,389.25,380.849,382.0505,0.100999999999999
382.0,382.0,382.0,382.0,2011-02-05,382.101,382.101,382.101,382.101,382.0505,382.0505,382.0505,382.0505,0.100999999999999
382.0,382.0,382.0,382.0,2011-02-06,382.101,382.101,382.101,382.101,382.0505,382.0505,382.0505,382.0505,0.100999999999999
383.789,392.099,383.295,391.697,2011-02-07,384.903,392.5,383.803,392.002,384.346,392.2995,383.549,391.8495,0.3050000000000068
393.092,413.5,392.992,412.099,2011-02-08,396.0,413.603,394.532,412.503,394.546,413.5515,393.762,412.301,0.4039999999999963
413.199,418.999,410.097,413.998,2011-02-09,413.501,419.202,410.2,414.203,413.35,419.1005,410.1485,414.1005,0.204999999999984
414.9,415.399,405.695,412.798,2011-02-10,415.001,416.401,405.9,413.002,414.9505,415.9,405.7975,412.9,0.2040000000000077
411.893,416.8,410.095,415.299,2011-02-11,412.602,417.003,410.301,415.403,412.2475,416.9015,410.198,415.351,0.1040000000000418
415.299,415.299,415.299,415.299,2011-02-12,415.403,415.403,415.403,415.403,415.351,415.351,415.351,415.351,0.1040000000000418
415.299,415.299,415.299,415.299,2011-02-13,415.403,415.403,415.403,415.403,415.351,415.351,415.351,415.351,0.1040000000000418
415.699,418.0,413.997,417.199,2011-02-14,416.709,418.501,414.201,418.006,416.204,418.2505,414.0990000000001,417.6025,0.8069999999999595
