bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
70.157,70.538,70.088,70.207,2017-11-02,70.173,70.563,70.112,70.223,70.16499999999999,70.5505,70.1,70.215,0.0160000000000053
69.538,69.958,68.518,68.587,2017-11-03,69.992,70.593,68.532,68.603,69.765,70.2755,68.525,68.595,0.0159999999999911
68.587,68.587,68.587,68.587,2017-11-04,68.603,68.603,68.603,68.603,68.595,68.595,68.595,68.595,0.0159999999999911
68.587,68.587,68.587,68.587,2017-11-05,68.603,68.603,68.603,68.603,68.595,68.595,68.595,68.595,0.0159999999999911
68.257,69.178,68.148,68.218,2017-11-06,68.803,69.203,68.162,68.232,68.53,69.1905,68.155,68.225,0.0139999999999957
68.248,68.697,67.987,68.288,2017-11-07,68.352,68.723,68.002,68.302,68.30000000000001,68.71000000000001,67.99449999999999,68.295,0.01400000000001
67.787,68.458,67.467,67.978,2017-11-08,68.293,68.503,67.552,67.992,68.04,68.4805,67.5095,67.985,0.01400000000001
67.727,69.888,67.712,69.248,2017-11-09,68.003,69.902,67.792,69.262,67.86500000000001,69.89500000000001,67.75200000000001,69.255,0.0139999999999957
69.247,70.228,69.127,70.207,2017-11-10,69.483,70.243,69.172,70.223,69.36500000000001,70.2355,69.14949999999999,70.215,0.0160000000000053
70.207,70.207,70.207,70.207,2017-11-11,70.223,70.223,70.223,70.223,70.215,70.215,70.215,70.215,0.0160000000000053
70.207,70.207,70.207,70.207,2017-11-12,70.223,70.223,70.223,70.223,70.215,70.215,70.215,70.215,0.0160000000000053
70.228,72.018,70.077,70.668,2017-11-13,70.342,72.063,70.112,70.692,70.285,72.04050000000001,70.0945,70.68,0.0239999999999867
67.238,69.518,66.438,67.898,2017-11-14,67.902,69.542,66.492,67.922,67.57,69.53,66.465,67.91,0.0240000000000009
67.578,69.528,66.998,69.028,2017-11-15,67.672,69.562,67.052,69.042,67.625,69.545,67.025,69.035,0.0139999999999957
68.238,69.468,68.238,69.037,2017-11-16,69.312,69.523,68.773,69.053,68.775,69.49549999999999,68.5055,69.045,0.0159999999999911
69.227,71.348,69.038,71.028,2017-11-17,69.803,71.372,69.052,71.033,69.515,71.36,69.045,71.0305,0.0049999999999954
71.028,71.028,71.028,71.028,2017-11-18,71.033,71.033,71.033,71.033,71.0305,71.0305,71.0305,71.0305,0.0049999999999954
71.028,71.028,71.028,71.028,2017-11-19,71.033,71.033,71.033,71.033,71.0305,71.0305,71.0305,71.0305,0.0049999999999954
71.018,71.518,70.567,71.188,2017-11-20,71.352,71.533,70.593,71.202,71.185,71.5255,70.58,71.195,0.0139999999999957
70.858,71.278,70.098,71.208,2017-11-21,71.532,71.533,70.172,71.222,71.195,71.4055,70.13499999999999,71.215,0.0139999999999957
70.768,71.338,70.427,70.558,2017-11-22,71.612,71.612,70.442,70.572,71.19,71.475,70.4345,70.565,0.0139999999999957
70.558,70.558,70.558,70.558,2017-11-23,70.572,70.572,70.572,70.572,70.565,70.565,70.565,70.565,0.0139999999999957
70.527,71.438,70.437,70.828,2017-11-24,71.493,71.493,70.693,70.842,71.00999999999999,71.46549999999999,70.565,70.83500000000001,0.0139999999999957
70.828,70.828,70.828,70.828,2017-11-25,70.842,70.842,70.842,70.842,70.83500000000001,70.83500000000001,70.83500000000001,70.83500000000001,0.0139999999999957
70.828,70.828,70.828,70.828,2017-11-26,70.842,70.842,70.842,70.842,70.83500000000001,70.83500000000001,70.83500000000001,70.83500000000001,0.0139999999999957
70.738,71.388,70.487,70.948,2017-11-27,71.752,71.752,70.502,70.962,71.245,71.57,70.49449999999999,70.955,0.01400000000001
