bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
16.93,17.17,16.93,17.005,2011-01-03,17.011,17.175,16.94,17.015,16.9705,17.1725,16.935000000000002,17.009999999999998,0.0100000000000015
17.025,17.19,16.935,17.12,2011-01-04,17.05,17.195,16.94,17.125,17.0375,17.192500000000003,16.9375,17.122500000000002,0.004999999999999
17.04,17.085,16.7,16.845,2011-01-05,17.171,17.171,16.71,16.85,17.1055,17.128,16.705,16.8475,0.0050000000000025
16.899,17.105,16.899,17.075,2011-01-06,16.951,17.12,16.93,17.08,16.925,17.1125,16.9145,17.0775,0.004999999999999
16.867,16.925,16.63,16.76,2011-01-07,17.111,17.111,16.635,16.765,16.989,17.018,16.6325,16.762500000000003,0.004999999999999
16.76,16.76,16.76,16.76,2011-01-08,16.765,16.765,16.765,16.765,16.762500000000003,16.762500000000003,16.762500000000003,16.762500000000003,0.004999999999999
16.76,16.76,16.76,16.76,2011-01-09,16.765,16.765,16.765,16.765,16.762500000000003,16.762500000000003,16.762500000000003,16.762500000000003,0.004999999999999
16.689,16.689,16.49,16.65,2011-01-10,16.751,16.751,16.495,16.66,16.72,16.72,16.4925,16.655,0.0100000000000015
16.559,16.785,16.515,16.725,2011-01-11,16.7,16.79,16.53,16.73,16.6295,16.7875,16.5225,16.7275,0.004999999999999
16.71,17.28,16.71,17.23,2011-01-12,16.75,17.29,16.72,17.24,16.73,17.285,16.715,17.235,0.009999999999998
17.284,17.72,17.284,17.675,2011-01-13,17.402,17.725,17.375,17.68,17.343,17.7225,17.3295,17.677500000000002,0.004999999999999
17.65,17.695,17.47,17.505,2011-01-14,17.701,17.701,17.475,17.51,17.6755,17.698,17.4725,17.5075,0.0050000000000025
17.505,17.505,17.505,17.505,2011-01-15,17.51,17.51,17.51,17.51,17.5075,17.5075,17.5075,17.5075,0.0050000000000025
17.505,17.505,17.505,17.505,2011-01-16,17.51,17.51,17.51,17.51,17.5075,17.5075,17.5075,17.5075,0.0050000000000025
17.5,17.69,17.5,17.59,2011-01-17,17.67,17.7,17.555,17.595,17.585,17.695,17.5275,17.5925,0.004999999999999
17.55,17.955,17.55,17.95,2011-01-18,17.645,17.965,17.58,17.955,17.5975,17.96,17.564999999999998,17.9525,0.004999999999999
17.91,18.005,17.81,17.9,2011-01-19,17.94,18.02,17.82,17.905,17.925,18.0125,17.814999999999998,17.9025,0.0050000000000025
17.849,18.08,17.849,18.065,2011-01-20,17.971,18.09,17.895,18.07,17.91,18.085,17.872,18.067500000000003,0.004999999999999
18.015,18.545,18.015,18.49,2011-01-21,18.085,18.55,18.065,18.5,18.05,18.5475,18.04,18.495,0.0100000000000015
18.49,18.49,18.49,18.49,2011-01-22,18.5,18.5,18.5,18.5,18.495,18.495,18.495,18.495,0.0100000000000015
18.49,18.49,18.49,18.49,2011-01-23,18.5,18.5,18.5,18.5,18.495,18.495,18.495,18.495,0.0100000000000015
18.319,18.485,18.31,18.465,2011-01-24,18.452,18.495,18.315,18.47,18.3855,18.49,18.3125,18.4675,0.004999999999999
18.399,18.6,18.31,18.35,2011-01-25,18.51,18.62,18.315,18.355,18.454500000000003,18.61,18.3125,18.3525,0.004999999999999
18.33,18.585,18.33,18.55,2011-01-26,18.4,18.595,18.4,18.555,18.365,18.59,18.365,18.5525,0.004999999999999
18.348,18.615,18.314,18.595,2011-01-27,18.5,18.62,18.33,18.6,18.424,18.6175,18.322,18.5975,0.0050000000000025
18.45,18.62,18.345,18.36,2011-01-28,18.562,18.63,18.35,18.37,18.506,18.625,18.3475,18.365,0.0100000000000015
18.36,18.36,18.36,18.36,2011-01-29,18.37,18.37,18.37,18.37,18.365,18.365,18.365,18.365,0.0100000000000015
18.36,18.36,18.36,18.36,2011-01-30,18.37,18.37,18.37,18.37,18.365,18.365,18.365,18.365,0.0100000000000015
18.229,18.495,18.17,18.44,2011-01-31,18.295,18.5,18.175,18.445,18.262,18.4975,18.1725,18.442500000000003,0.004999999999999
18.299,18.57,18.295,18.535,2011-02-01,18.401,18.575,18.3,18.54,18.35,18.5725,18.2975,18.5375,0.004999999999999
18.499,18.645,18.48,18.605,2011-02-02,18.581,18.65,18.485,18.61,18.54,18.6475,18.4825,18.6075,0.004999999999999
18.6,18.715,18.41,18.49,2011-02-03,18.64,18.72,18.415,18.5,18.62,18.7175,18.4125,18.495,0.0100000000000015
18.459,18.65,18.4,18.55,2011-02-04,18.551,18.68,18.405,18.56,18.505,18.665,18.4025,18.555,0.009999999999998
18.55,18.55,18.55,18.55,2011-02-05,18.56,18.56,18.56,18.56,18.555,18.555,18.555,18.555,0.009999999999998
18.55,18.55,18.55,18.55,2011-02-06,18.56,18.56,18.56,18.56,18.555,18.555,18.555,18.555,0.009999999999998
18.405,18.67,18.405,18.645,2011-02-07,18.541,18.675,18.47,18.65,18.473,18.6725,18.4375,18.6475,0.004999999999999
18.569,18.68,18.49,18.63,2011-02-08,18.65,18.69,18.5,18.635,18.6095,18.685,18.495,18.6325,0.0050000000000025
18.64,18.7,18.515,18.6,2011-02-09,18.685,18.705,18.525,18.61,18.6625,18.7025,18.52,18.605,0.009999999999998
18.525,18.525,18.23,18.36,2011-02-10,18.651,18.651,18.235,18.365,18.588,18.588,18.2325,18.3625,0.004999999999999
18.344,18.43,18.21,18.31,2011-02-11,18.4,18.435,18.215,18.315,18.372,18.4325,18.2125,18.3125,0.0050000000000025
18.31,18.31,18.31,18.31,2011-02-12,18.315,18.315,18.315,18.315,18.3125,18.3125,18.3125,18.3125,0.0050000000000025
18.31,18.31,18.31,18.31,2011-02-13,18.315,18.315,18.315,18.315,18.3125,18.3125,18.3125,18.3125,0.0050000000000025
18.259,18.435,18.2,18.24,2011-02-14,18.391,18.45,18.21,18.245,18.325,18.4425,18.205,18.2425,0.0050000000000025
18.204,18.425,18.204,18.22,2011-02-15,18.3,18.43,18.21,18.225,18.252,18.4275,18.207,18.2225,0.0050000000000025
18.219,18.48,18.219,18.44,2011-02-16,18.325,18.485,18.27,18.445,18.272,18.4825,18.2445,18.442500000000003,0.004999999999999
18.429,18.49,18.35,18.38,2011-02-17,18.48,18.495,18.36,18.39,18.4545,18.4925,18.355,18.385,0.0100000000000015
18.445,18.585,18.35,18.45,2011-02-18,18.46,18.59,18.355,18.46,18.4525,18.5875,18.3525,18.455,0.0100000000000015
18.45,18.45,18.45,18.45,2011-02-19,18.46,18.46,18.46,18.46,18.455,18.455,18.455,18.455,0.0100000000000015
18.45,18.45,18.45,18.45,2011-02-20,18.46,18.46,18.46,18.46,18.455,18.455,18.455,18.455,0.0100000000000015
18.429,18.495,18.235,18.275,2011-02-21,18.501,18.501,18.24,18.28,18.465,18.498,18.2375,18.2775,0.0050000000000025
18.219,18.219,17.955,18.085,2011-02-22,18.27,18.27,17.965,18.095,18.2445,18.2445,17.96,18.09,0.009999999999998
18.018,18.07,17.815,17.865,2011-02-23,18.157,18.157,17.82,17.875,18.0875,18.1135,17.817500000000003,17.869999999999997,0.0100000000000015
17.85,17.985,17.72,17.93,2011-02-24,17.931,17.99,17.73,17.945,17.890500000000003,17.987499999999997,17.725,17.9375,0.0150000000000005
17.949,18.325,17.82,18.31,2011-02-25,18.021,18.335,17.835,18.315,17.985,18.33,17.8275,18.3125,0.0050000000000025
18.31,18.31,18.31,18.31,2011-02-26,18.315,18.315,18.315,18.315,18.3125,18.3125,18.3125,18.3125,0.0050000000000025
18.31,18.31,18.31,18.31,2011-02-27,18.315,18.315,18.315,18.315,18.3125,18.3125,18.3125,18.3125,0.0050000000000025
18.26,18.495,18.14,18.465,2011-02-28,18.331,18.5,18.15,18.47,18.2955,18.4975,18.145,18.4675,0.004999999999999
18.379,18.57,18.28,18.29,2011-03-01,18.431,18.575,18.285,18.3,18.405,18.5725,18.2825,18.295,0.0100000000000015
18.298,18.298,18.09,18.18,2011-03-02,18.481,18.481,18.095,18.185,18.3895,18.3895,18.0925,18.1825,0.004999999999999
18.12,18.345,18.06,18.065,2011-03-03,18.166,18.35,18.07,18.07,18.143,18.3475,18.065,18.067500000000003,0.004999999999999
18.048,18.205,18.01,18.025,2011-03-04,18.201,18.21,18.015,18.035,18.1245,18.2075,18.012500000000003,18.03,0.0100000000000015
18.025,18.025,18.025,18.025,2011-03-05,18.035,18.035,18.035,18.035,18.03,18.03,18.03,18.03,0.0100000000000015
18.025,18.025,18.025,18.025,2011-03-06,18.035,18.035,18.035,18.035,18.03,18.03,18.03,18.03,0.0100000000000015
17.999,18.215,17.95,18.19,2011-03-07,18.112,18.22,17.96,18.2,18.0555,18.2175,17.955,18.195,0.009999999999998
18.069,18.22,18.01,18.17,2011-03-08,18.151,18.225,18.015,18.175,18.11,18.2225,18.012500000000003,18.1725,0.004999999999999
18.2,18.235,18.065,18.15,2011-03-09,18.245,18.25,18.075,18.155,18.2225,18.2425,18.07,18.1525,0.0050000000000025
18.07,18.085,17.88,17.93,2011-03-10,18.171,18.171,17.885,17.935,18.1205,18.128,17.8825,17.932499999999997,0.004999999999999
17.969,17.969,17.805,17.88,2011-03-11,18.07,18.07,17.81,17.885,18.0195,18.0195,17.807499999999997,17.8825,0.0050000000000025
17.88,17.88,17.88,17.88,2011-03-12,17.885,17.885,17.885,17.885,17.8825,17.8825,17.8825,17.8825,0.0050000000000025
17.88,17.88,17.88,17.88,2011-03-13,17.885,17.885,17.885,17.885,17.8825,17.8825,17.8825,17.8825,0.0050000000000025
17.83,17.985,17.425,17.465,2011-03-14,17.86,17.99,17.43,17.475,17.845,17.987499999999997,17.427500000000002,17.47,0.0100000000000015
17.519,17.519,17.005,17.22,2011-03-15,17.581,17.581,17.01,17.225,17.549999999999997,17.549999999999997,17.0075,17.2225,0.0050000000000025
17.229,17.38,16.95,17.11,2011-03-16,17.361,17.4,16.955,17.12,17.295,17.39,16.9525,17.115000000000002,0.0100000000000015
16.92,17.43,16.92,17.33,2011-03-17,17.086,17.44,17.015,17.34,17.003,17.435000000000002,16.9675,17.335,0.0100000000000015
17.34,17.545,17.275,17.375,2011-03-18,17.411,17.55,17.28,17.38,17.375500000000002,17.5475,17.2775,17.377499999999998,0.004999999999999
17.375,17.375,17.375,17.375,2011-03-19,17.38,17.38,17.38,17.38,17.377499999999998,17.377499999999998,17.377499999999998,17.377499999999998,0.004999999999999
17.375,17.375,17.375,17.375,2011-03-20,17.38,17.38,17.38,17.38,17.377499999999998,17.377499999999998,17.377499999999998,17.377499999999998,0.004999999999999
17.299,17.675,17.299,17.645,2011-03-21,17.38,17.68,17.38,17.65,17.3395,17.677500000000002,17.3395,17.6475,0.004999999999999
17.63,17.835,17.61,17.65,2011-03-22,17.701,17.84,17.615,17.655,17.6655,17.8375,17.612499999999997,17.6525,0.0050000000000025
17.554,17.65,17.45,17.57,2011-03-23,17.701,17.701,17.455,17.58,17.627499999999998,17.6755,17.4525,17.575,0.009999999999998
17.508,17.76,17.48,17.695,2011-03-24,17.692,17.77,17.485,17.7,17.6,17.765,17.4825,17.697499999999998,0.004999999999999
17.699,17.895,17.699,17.83,2011-03-25,17.771,17.9,17.77,17.835,17.735,17.8975,17.7345,17.8325,0.0050000000000025
17.83,17.83,17.83,17.83,2011-03-26,17.835,17.835,17.835,17.835,17.8325,17.8325,17.8325,17.8325,0.0050000000000025
17.83,17.83,17.83,17.83,2011-03-27,17.835,17.835,17.835,17.835,17.8325,17.8325,17.8325,17.8325,0.0050000000000025
