bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
38.85,39.0,38.499,38.78,2016-04-18,38.87,39.081,38.55,38.79,38.86,39.0405,38.5245,38.785,0.009999999999998
38.95,39.79,38.8,39.48,2016-04-19,38.991,39.8,38.83,39.49,38.9705,39.795,38.815,39.485,0.0100000000000051
40.25,40.94,39.71,40.03,2016-04-20,40.27,40.95,39.73,40.04,40.260000000000005,40.945,39.72,40.035,0.009999999999998
40.17,40.17,39.59,39.73,2016-04-21,40.18,40.2,39.62,39.74,40.175,40.185,39.605,39.735,0.0100000000000051
39.93,39.93,39.37,39.42,2016-04-22,39.88,39.95,39.38,39.44,39.905,39.94,39.375,39.43,0.019999999999996
39.42,39.42,39.42,39.42,2016-04-23,39.44,39.44,39.44,39.44,39.43,39.43,39.43,39.43,0.019999999999996
39.42,39.42,39.42,39.42,2016-04-24,39.44,39.44,39.44,39.44,39.43,39.43,39.43,39.43,0.019999999999996
39.459,39.66,39.12,39.22,2016-04-25,39.52,39.771,39.14,39.23,39.48950000000001,39.7155,39.13,39.225,0.009999999999998
39.42,39.78,39.2,39.48,2016-04-26,39.42,39.8,39.27,39.5,39.42,39.79,39.235,39.49,0.0200000000000031
39.35,39.51,38.88,39.06,2016-04-27,39.381,39.52,38.89,39.07,39.3655,39.515,38.885000000000005,39.065,0.009999999999998
38.919,38.96,38.57,38.84,2016-04-28,38.97,39.001,38.58,38.85,38.9445,38.9805,38.575,38.845,0.009999999999998
38.71,38.92,38.23,38.31,2016-04-29,38.79,38.94,38.25,38.33,38.75,38.93,38.24,38.32,0.019999999999996
38.31,38.31,38.31,38.31,2016-04-30,38.33,38.33,38.33,38.33,38.32,38.32,38.32,38.32,0.019999999999996
38.31,38.31,38.31,38.31,2016-05-01,38.33,38.33,38.33,38.33,38.32,38.32,38.32,38.32,0.019999999999996
38.31,38.46,38.05,38.19,2016-05-02,38.33,38.49,38.06,38.2,38.32,38.475,38.055,38.195,0.0100000000000051
38.0,38.31,37.45,37.72,2016-05-03,38.0,38.33,37.46,37.73,38.0,38.32,37.455,37.725,0.009999999999998
37.819,37.92,37.36,37.38,2016-05-04,37.89,37.97,37.38,37.4,37.8545,37.945,37.370000000000005,37.39,0.019999999999996
37.38,37.38,37.38,37.38,2016-05-05,37.4,37.4,37.4,37.4,37.39,37.39,37.39,37.39,0.019999999999996
