bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
38.796,39.0,37.548,38.199,2011-01-03,39.101,39.204,37.6,38.251,38.9485,39.102,37.574,38.225,0.0519999999999996
37.849,38.1,36.696,37.2,2011-01-04,37.751,38.202,36.85,37.251,37.8,38.151,36.773,37.2255,0.0509999999999948
37.099,37.1,35.85,35.95,2011-01-05,37.201,37.455,35.95,36.0,37.15,37.2775,35.900000000000006,35.975,0.0499999999999971
36.149,36.25,35.798,35.849,2011-01-06,36.251,36.302,35.85,35.951,36.2,36.276,35.824,35.9,0.1020000000000038
35.899,36.048,35.199,35.2,2011-01-07,36.151,36.253,35.25,35.251,36.025000000000006,36.1505,35.2245,35.2255,0.0509999999999948
35.2,35.2,35.2,35.2,2011-01-08,35.251,35.251,35.251,35.251,35.2255,35.2255,35.2255,35.2255,0.0509999999999948
35.2,35.2,35.2,35.2,2011-01-09,35.251,35.251,35.251,35.251,35.2255,35.2255,35.2255,35.2255,0.0509999999999948
35.55,35.55,34.699,34.999,2011-01-10,35.959,36.007,34.75,35.05,35.7545,35.778499999999994,34.7245,35.0245,0.0509999999999948
34.399,36.15,34.195,36.049,2011-01-11,34.703,36.201,34.5,36.151,34.551,36.1755,34.3475,36.1,0.1020000000000038
35.849,37.2,35.796,37.15,2011-01-12,35.95,37.251,35.85,37.2,35.8995,37.2255,35.823,37.175,0.0500000000000042
36.998,37.25,35.549,36.549,2011-01-13,37.152,37.352,35.601,36.651,37.075,37.301,35.575,36.6,0.1020000000000038
36.998,37.2,36.498,37.1,2011-01-14,37.201,37.252,36.55,37.15,37.0995,37.226,36.524,37.125,0.0499999999999971
37.1,37.1,37.1,37.1,2011-01-15,37.15,37.15,37.15,37.15,37.125,37.125,37.125,37.125,0.0499999999999971
37.1,37.1,37.1,37.1,2011-01-16,37.15,37.15,37.15,37.15,37.125,37.125,37.125,37.125,0.0499999999999971
36.947,37.098,35.849,35.85,2011-01-17,37.1,37.302,35.9,35.9,37.0235,37.2,35.8745,35.875,0.0499999999999971
35.849,36.2,34.849,35.1,2011-01-18,35.95,36.452,34.9,35.15,35.8995,36.326,34.8745,35.125,0.0499999999999971
35.199,35.449,34.95,34.999,2011-01-19,35.301,35.5,35.001,35.05,35.25,35.4745,34.9755,35.0245,0.0509999999999948
35.05,35.6,34.999,35.198,2011-01-20,35.101,35.651,35.05,35.352,35.0755,35.6255,35.0245,35.275,0.1539999999999963
35.649,36.6,35.296,36.499,2011-01-21,35.802,36.65,35.4,36.551,35.7255,36.625,35.348,36.525000000000006,0.0519999999999996
36.499,36.499,36.499,36.499,2011-01-22,36.551,36.551,36.551,36.551,36.525000000000006,36.525000000000006,36.525000000000006,36.525000000000006,0.0519999999999996
36.499,36.499,36.499,36.499,2011-01-23,36.551,36.551,36.551,36.551,36.525000000000006,36.525000000000006,36.525000000000006,36.525000000000006,0.0519999999999996
36.649,36.699,35.7,36.1,2011-01-24,36.702,36.804,35.75,36.15,36.6755,36.7515,35.725,36.125,0.0499999999999971
36.15,36.4,35.65,35.899,2011-01-25,36.202,36.451,35.7,36.0,36.176,36.4255,35.675,35.9495,0.100999999999999
35.949,36.8,35.899,36.299,2011-01-26,36.253,36.95,36.151,36.5,36.101,36.875,36.025000000000006,36.3995,0.2010000000000005
36.298,36.75,36.148,36.699,2011-01-27,36.451,36.851,36.35,36.851,36.3745,36.8005,36.249,36.775,0.152000000000001
36.55,37.45,36.448,37.2,2011-01-28,36.901,37.501,36.75,37.251,36.7255,37.4755,36.599,37.2255,0.0509999999999948
37.2,37.2,37.2,37.2,2011-01-29,37.251,37.251,37.251,37.251,37.2255,37.2255,37.2255,37.2255,0.0509999999999948
37.2,37.2,37.2,37.2,2011-01-30,37.251,37.251,37.251,37.251,37.2255,37.2255,37.2255,37.2255,0.0509999999999948
36.999,37.249,36.899,37.05,2011-01-31,37.25,37.4,37.001,37.151,37.1245,37.3245,36.95,37.1005,0.1010000000000062
37.25,37.85,37.199,37.849,2011-02-01,37.351,37.901,37.251,37.9,37.3005,37.8755,37.225,37.8745,0.0510000000000019
37.949,38.5,37.599,38.098,2011-02-02,38.0,38.552,37.7,38.25,37.9745,38.526,37.6495,38.174,0.152000000000001
38.25,38.3,37.399,37.599,2011-02-03,38.501,38.502,37.5,37.651,38.3755,38.401,37.4495,37.625,0.0520000000000067
37.599,38.0,37.449,38.0,2011-02-04,37.701,38.101,37.5,38.05,37.65,38.0505,37.4745,38.025,0.0499999999999971
38.0,38.0,38.0,38.0,2011-02-05,38.05,38.05,38.05,38.05,38.025,38.025,38.025,38.025,0.0499999999999971
38.0,38.0,38.0,38.0,2011-02-06,38.05,38.05,38.05,38.05,38.025,38.025,38.025,38.025,0.0499999999999971
38.05,38.05,37.099,37.449,2011-02-07,38.101,38.201,37.2,37.501,38.0755,38.1255,37.1495,37.475,0.0519999999999996
37.95,37.999,37.298,37.399,2011-02-08,37.95,38.154,37.4,37.451,37.95,38.0765,37.349,37.425,0.0519999999999996
37.5,37.55,36.248,36.8,2011-02-09,37.45,37.6,36.301,36.85,37.475,37.575,36.2745,36.825,0.0500000000000042
36.8,36.95,36.199,36.8,2011-02-10,36.851,37.101,36.3,36.901,36.8255,37.0255,36.2495,36.8505,0.1010000000000062
36.6,36.999,36.498,36.75,2011-02-11,36.751,37.102,36.6,36.8,36.6755,37.0505,36.549,36.775,0.0499999999999971
36.75,36.75,36.75,36.75,2011-02-12,36.8,36.8,36.8,36.8,36.775,36.775,36.775,36.775,0.0499999999999971
36.75,36.75,36.75,36.75,2011-02-13,36.8,36.8,36.8,36.8,36.775,36.775,36.775,36.775,0.0499999999999971
36.847,37.75,36.594,37.4,2011-02-14,37.103,37.801,36.8,37.6,36.975,37.7755,36.697,37.5,0.2000000000000028
37.248,37.75,36.6,37.05,2011-02-15,37.455,37.851,36.65,37.101,37.3515,37.8005,36.625,37.0755,0.0510000000000019
37.196,37.25,36.899,37.099,2011-02-16,37.453,37.505,37.0,37.201,37.3245,37.3775,36.9495,37.15,0.1020000000000038
