bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
38.097,38.927,37.837,38.856,2022-05-13,38.543,39.034,38.133,39.024,38.32,38.9805,37.985,38.94,0.1679999999999992
38.856,38.856,38.856,38.856,2022-05-14,39.024,39.024,39.024,39.024,38.94,38.94,38.94,38.94,0.1679999999999992
38.856,38.856,38.856,38.856,2022-05-15,39.024,39.024,39.024,39.024,38.94,38.94,38.94,38.94,0.1679999999999992
38.746,39.727,38.436,39.587,2022-05-16,39.434,39.813,38.644,39.663,39.09,39.77,38.54,39.625,0.0759999999999934
39.637,40.757,39.406,40.566,2022-05-17,40.103,40.823,39.733,40.724,39.870000000000005,40.79,39.5695,40.645,0.1579999999999941
38.496,40.557,38.496,39.876,2022-05-18,40.524,40.834,39.623,39.914,39.510000000000005,40.6955,39.0595,39.895,0.0380000000000038
39.497,40.457,39.056,39.976,2022-05-19,39.963,40.524,39.244,40.044,39.73,40.4905,39.15,40.01,0.0679999999999978
40.147,40.527,39.356,40.497,2022-05-20,42.233,42.233,39.453,40.583,41.19,41.38,39.4045,40.54,0.0859999999999985
40.497,40.497,40.497,40.497,2022-05-21,40.583,40.583,40.583,40.583,40.54,40.54,40.54,40.54,0.0859999999999985
40.497,40.497,40.497,40.497,2022-05-22,40.583,40.583,40.583,40.583,40.54,40.54,40.54,40.54,0.0859999999999985
40.577,41.246,40.316,40.816,2022-05-23,41.053,41.314,40.513,40.974,40.815,41.28,40.4145,40.895,0.1579999999999941
40.286,41.317,40.036,41.096,2022-05-24,40.854,41.384,40.123,41.214,40.57,41.3505,40.0795,41.155,0.1180000000000021
40.796,42.246,40.796,42.157,2022-05-25,41.294,42.354,41.253,42.303,41.045,42.3,41.0245,42.23,0.1460000000000008
41.826,42.647,41.826,42.296,2022-05-26,42.404,42.913,42.203,42.404,42.115,42.78,42.0145,42.35,0.108000000000004
41.987,42.847,41.987,42.697,2022-05-27,42.503,42.933,42.214,42.713,42.245000000000005,42.89,42.1005,42.705,0.0159999999999982
42.697,42.697,42.697,42.697,2022-05-28,42.713,42.713,42.713,42.713,42.705,42.705,42.705,42.705,0.0159999999999982
42.697,42.697,42.697,42.697,2022-05-29,42.713,42.713,42.713,42.713,42.705,42.705,42.705,42.705,0.0159999999999982
42.697,42.697,42.697,42.697,2022-05-30,42.713,42.713,42.713,42.713,42.705,42.705,42.705,42.705,0.0159999999999982
42.116,42.876,41.577,42.747,2022-05-31,42.874,42.954,41.853,42.893,42.495000000000005,42.915,41.715,42.82,0.1460000000000008
42.346,43.217,42.067,43.106,2022-06-01,43.274,43.354,42.294,43.134,42.81,43.2855,42.1805,43.120000000000005,0.0279999999999986
42.897,44.307,42.646,44.276,2022-06-02,43.423,44.324,42.863,44.304,43.16,44.3155,42.7545,44.290000000000006,0.0279999999999986
43.666,44.246,42.927,43.076,2022-06-03,44.434,44.454,43.074,43.334,44.05,44.35,43.0005,43.205,0.2580000000000026
43.076,43.076,43.076,43.076,2022-06-04,43.334,43.334,43.334,43.334,43.205,43.205,43.205,43.205,0.2580000000000026
43.076,43.076,43.076,43.076,2022-06-05,43.334,43.334,43.334,43.334,43.205,43.205,43.205,43.205,0.2580000000000026
43.076,43.076,43.076,43.076,2022-06-06,43.334,43.334,43.334,43.334,43.205,43.205,43.205,43.205,0.2580000000000026
43.187,44.527,43.187,44.516,2022-06-07,43.893,44.604,43.593,44.554,43.54,44.5655,43.39,44.535,0.0380000000000038
44.086,44.216,43.387,43.426,2022-06-08,44.184,44.434,43.433,43.654,44.135,44.325,43.41,43.540000000000006,0.2280000000000015
43.156,43.627,42.966,43.096,2022-06-09,43.994,43.994,43.053,43.344,43.575,43.810500000000005,43.0095,43.22,0.2480000000000046
42.356,42.696,42.086,42.187,2022-06-10,42.914,43.034,42.213,42.223,42.635000000000005,42.865,42.1495,42.205,0.0360000000000013
42.187,42.187,42.187,42.187,2022-06-11,42.223,42.223,42.223,42.223,42.205,42.205,42.205,42.205,0.0360000000000013
42.187,42.187,42.187,42.187,2022-06-12,42.223,42.223,42.223,42.223,42.205,42.205,42.205,42.205,0.0360000000000013
41.467,41.567,40.237,40.527,2022-06-13,41.563,41.863,40.274,40.693,41.515,41.715,40.2555,40.61,0.1659999999999968
40.195,40.405,39.365,39.685,2022-06-14,40.855,40.855,39.395,39.745,40.525,40.63,39.38,39.715,0.0599999999999951
39.695,40.255,39.015,39.475,2022-06-15,40.165,40.625,39.115,39.685,39.93,40.44,39.065,39.58,0.2100000000000008
38.545,38.665,37.905,38.225,2022-06-16,38.935,39.115,37.985,38.385,38.74,38.89,37.945,38.305,0.1599999999999966
38.675,38.735,37.245,37.595,2022-06-17,38.715,38.815,37.465,37.615,38.695,38.775,37.355,37.605,0.0200000000000031
37.595,37.595,37.595,37.595,2022-06-18,37.615,37.615,37.615,37.615,37.605,37.605,37.605,37.605,0.0200000000000031
37.595,37.595,37.595,37.595,2022-06-19,37.615,37.615,37.615,37.615,37.605,37.605,37.605,37.605,0.0200000000000031
37.595,37.595,37.595,37.595,2022-06-20,37.615,37.615,37.615,37.615,37.605,37.605,37.605,37.605,0.0200000000000031
37.595,37.595,37.595,37.595,2022-06-21,37.615,37.615,37.615,37.615,37.605,37.605,37.605,37.605,0.0200000000000031
37.945,38.615,37.825,38.375,2022-06-22,38.495,38.825,37.925,38.405,38.22,38.72,37.875,38.39,0.0300000000000011
38.375,38.375,38.375,38.375,2022-06-23,38.405,38.405,38.405,38.405,38.39,38.39,38.39,38.39,0.0300000000000011
39.215,39.745,39.175,39.315,2022-06-24,39.475,39.865,39.275,39.505,39.345,39.805,39.225,39.41,0.1900000000000048
39.315,39.315,39.315,39.315,2022-06-25,39.505,39.505,39.505,39.505,39.41,39.41,39.41,39.41,0.1900000000000048
39.315,39.315,39.315,39.315,2022-06-26,39.505,39.505,39.505,39.505,39.41,39.41,39.41,39.41,0.1900000000000048
39.115,39.925,38.835,39.515,2022-06-27,39.915,40.015,39.075,39.795,39.515,39.97,38.955,39.655,0.2800000000000011
39.615,40.255,39.205,39.585,2022-06-28,40.045,40.455,39.565,39.735,39.83,40.355,39.385,39.66,0.1499999999999985
39.365,39.525,38.525,38.845,2022-06-29,40.005,40.005,38.635,39.005,39.685,39.765,38.58,38.925,0.1600000000000037
37.915,39.055,37.915,38.445,2022-06-30,38.505,39.155,38.405,38.655,38.21,39.105,38.16,38.55,0.2100000000000008
38.045,39.735,38.045,39.685,2022-07-01,38.875,39.875,38.605,39.715,38.46,39.805,38.325,39.7,0.0300000000000011
39.685,39.685,39.685,39.685,2022-07-02,39.715,39.715,39.715,39.715,39.7,39.7,39.7,39.7,0.0300000000000011
39.685,39.685,39.685,39.685,2022-07-03,39.715,39.715,39.715,39.715,39.7,39.7,39.7,39.7,0.0300000000000011
39.685,39.685,39.685,39.685,2022-07-04,39.715,39.715,39.715,39.715,39.7,39.7,39.7,39.7,0.0300000000000011
39.075,39.275,37.525,38.355,2022-07-05,39.525,39.565,37.625,38.675,39.3,39.42,37.575,38.515,0.3200000000000003
38.305,38.885,37.735,38.615,2022-07-06,38.855,38.965,37.845,38.925,38.58,38.925,37.79,38.77,0.3099999999999951
38.705,39.655,38.705,39.265,2022-07-07,39.305,39.775,39.265,39.465,39.005,39.715,38.985,39.365,0.2000000000000028
38.855,39.785,38.625,39.205,2022-07-08,39.765,39.975,38.745,39.395,39.31,39.88,38.685,39.3,0.1900000000000048
39.205,39.205,39.205,39.205,2022-07-09,39.395,39.395,39.395,39.395,39.3,39.3,39.3,39.3,0.1900000000000048
39.205,39.205,39.205,39.205,2022-07-10,39.395,39.395,39.395,39.395,39.3,39.3,39.3,39.3,0.1900000000000048
38.775,40.305,38.775,40.025,2022-07-11,39.435,40.405,39.315,40.195,39.105,40.355,39.045,40.11,0.1700000000000017
39.575,40.565,39.285,39.665,2022-07-12,39.905,40.665,39.515,39.875,39.74,40.615,39.4,39.77,0.2100000000000008
38.925,39.925,38.925,39.565,2022-07-13,39.655,40.005,39.335,39.865,39.29,39.965,39.13,39.715,0.3000000000000042
38.555,39.935,38.555,39.765,2022-07-14,39.505,40.085,38.945,40.045,39.03,40.010000000000005,38.75,39.905,0.2800000000000011
39.675,40.655,39.675,40.315,2022-07-15,40.585,40.805,40.115,40.465,40.13,40.73,39.895,40.39,0.1500000000000056
40.315,40.315,40.315,40.315,2022-07-16,40.465,40.465,40.465,40.465,40.39,40.39,40.39,40.39,0.1500000000000056
40.315,40.315,40.315,40.315,2022-07-17,40.465,40.465,40.465,40.465,40.39,40.39,40.39,40.39,0.1500000000000056
40.15,40.845,40.15,40.255,2022-07-18,40.885,40.935,40.345,40.385,40.5175,40.89,40.2475,40.32,0.1299999999999954
40.245,41.215,40.245,41.135,2022-07-19,41.065,41.275,40.885,41.275,40.655,41.245000000000005,40.565,41.205,0.1400000000000005
40.885,41.175,40.015,40.775,2022-07-20,41.525,41.525,40.115,40.995,41.205,41.35,40.065,40.885,0.2199999999999988
39.995,41.015,39.995,40.885,2022-07-21,40.875,41.105,40.195,41.105,40.435,41.06,40.095,40.995,0.2199999999999988
40.805,41.295,40.765,41.215,2022-07-22,41.325,41.365,40.895,41.355,41.065,41.33,40.83,41.285,0.1399999999999934
41.215,41.215,41.215,41.215,2022-07-23,41.355,41.355,41.355,41.355,41.285,41.285,41.285,41.285,0.1399999999999934
41.215,41.215,41.215,41.215,2022-07-24,41.355,41.355,41.355,41.355,41.285,41.285,41.285,41.285,0.1399999999999934
41.015,41.755,40.945,41.625,2022-07-25,41.835,42.045,41.225,41.775,41.425,41.900000000000006,41.085,41.7,0.1499999999999985
41.335,41.895,41.215,41.545,2022-07-26,41.875,42.115,41.315,41.685,41.605,42.005,41.265,41.615,0.1400000000000005
41.415,42.095,40.855,41.915,2022-07-27,42.095,42.125,41.055,41.975,41.755,42.11,40.955,41.945,0.0600000000000022
41.755,42.825,41.195,42.655,2022-07-28,42.005,42.885,41.265,42.875,41.88,42.855,41.23,42.765,0.2199999999999988
42.655,43.475,42.545,43.135,2022-07-29,43.055,43.515,42.685,43.165,42.855,43.495000000000005,42.615,43.15,0.0300000000000011
43.135,43.135,43.135,43.135,2022-07-30,43.165,43.165,43.165,43.165,43.15,43.15,43.15,43.15,0.0300000000000011
43.135,43.135,43.135,43.135,2022-07-31,43.165,43.165,43.165,43.165,43.15,43.15,43.15,43.15,0.0300000000000011
42.665,43.545,42.475,43.415,2022-08-01,43.225,43.655,42.695,43.645,42.945,43.6,42.585,43.53,0.2300000000000039
43.235,43.675,42.745,42.935,2022-08-02,43.715,43.845,42.825,42.985,43.475,43.76,42.785,42.96,0.0499999999999971
42.925,43.455,42.445,43.185,2022-08-03,43.475,43.605,42.735,43.345,43.2,43.53,42.59,43.265,0.1599999999999966
42.115,43.042,40.035,40.905,2022-08-04,43.205,43.395,40.805,41.135,42.66,43.218500000000006,40.42,41.02,0.2299999999999968
40.405,41.185,39.725,39.935,2022-08-05,41.535,41.535,39.755,40.155,40.97,41.36,39.74,40.045,0.2199999999999988
39.935,39.935,39.935,39.935,2022-08-06,40.155,40.155,40.155,40.155,40.045,40.045,40.045,40.045,0.2199999999999988
39.935,39.935,39.935,39.935,2022-08-07,40.155,40.155,40.155,40.155,40.045,40.045,40.045,40.045,0.2199999999999988
40.115,40.745,39.855,39.875,2022-08-08,40.585,40.935,39.965,40.095,40.35,40.84,39.91,39.985,0.2199999999999988
40.015,40.055,39.435,39.885,2022-08-09,40.265,40.385,39.525,40.205,40.14,40.22,39.48,40.045,0.3200000000000003
40.185,40.745,39.925,40.315,2022-08-10,40.795,40.795,40.315,40.525,40.49,40.77,40.12,40.42,0.2100000000000008
40.435,41.335,40.335,40.915,2022-08-11,40.925,41.415,40.715,41.125,40.68,41.375,40.525000000000006,41.02,0.2100000000000008
40.995,41.675,40.855,41.615,2022-08-12,41.475,41.785,41.275,41.765,41.235,41.73,41.065,41.69,0.1499999999999985
41.615,41.615,41.615,41.615,2022-08-13,41.765,41.765,41.765,41.765,41.69,41.69,41.69,41.69,0.1499999999999985
41.615,41.615,41.615,41.615,2022-08-14,41.765,41.765,41.765,41.765,41.69,41.69,41.69,41.69,0.1499999999999985
41.245,41.845,40.965,41.655,2022-08-15,41.915,41.945,41.195,41.745,41.58,41.895,41.08,41.7,0.0899999999999963
41.135,41.965,41.135,41.825,2022-08-16,41.505,42.055,41.385,42.025,41.32,42.010000000000005,41.26,41.925,0.1999999999999957
41.645,41.995,41.425,41.805,2022-08-17,42.495,42.495,41.605,42.015,42.07,42.245,41.515,41.91,0.2100000000000008
41.665,42.095,41.585,41.605,2022-08-18,42.045,42.205,41.675,41.815,41.855,42.15,41.63,41.71,0.2100000000000008
41.495,41.795,41.275,41.385,2022-08-19,41.735,42.225,41.365,41.545,41.615,42.010000000000005,41.32,41.465,0.1600000000000037
41.385,41.385,41.385,41.385,2022-08-20,41.545,41.545,41.545,41.545,41.465,41.465,41.465,41.465,0.1600000000000037
41.385,41.385,41.385,41.385,2022-08-21,41.545,41.545,41.545,41.545,41.465,41.465,41.465,41.465,0.1600000000000037
40.995,41.045,40.475,40.485,2022-08-22,41.365,41.545,40.555,40.695,41.18,41.295,40.515,40.59,0.2100000000000008
40.595,41.035,40.325,40.325,2022-08-23,40.975,41.125,40.455,40.555,40.785,41.08,40.39,40.44,0.2299999999999968
40.005,40.425,39.885,40.165,2022-08-24,40.78,40.78,40.065,40.355,40.3925,40.6025,39.975,40.26,0.1899999999999977
40.005,41.035,40.005,40.605,2022-08-25,40.545,41.095,40.275,40.705,40.275000000000006,41.065,40.14,40.655,0.1000000000000014
40.555,40.905,39.715,40.085,2022-08-26,40.875,41.145,40.065,40.315,40.715,41.025000000000006,39.89,40.2,0.2299999999999968
40.085,40.085,40.085,40.085,2022-08-27,40.315,40.315,40.315,40.315,40.2,40.2,40.2,40.2,0.2299999999999968
40.085,40.085,40.085,40.085,2022-08-28,40.315,40.315,40.315,40.315,40.2,40.2,40.2,40.2,0.2299999999999968
39.925,40.235,39.505,39.825,2022-08-29,40.325,40.405,39.685,40.005,40.125,40.32,39.595,39.915000000000006,0.1799999999999997
39.665,39.815,39.265,39.405,2022-08-30,40.335,40.575,39.325,39.585,40.0,40.195,39.295,39.495000000000005,0.1799999999999997
39.475,39.615,39.125,39.395,2022-08-31,39.895,40.135,39.175,39.585,39.685,39.875,39.15,39.49,0.1899999999999977
39.505,39.685,38.815,38.915,2022-09-01,39.775,39.955,38.875,39.225,39.64,39.82,38.845,39.07,0.3100000000000023
39.025,39.925,38.825,38.995,2022-09-02,39.585,40.045,39.025,39.175,39.305,39.985,38.925,39.085,0.1799999999999997
38.995,38.995,38.995,38.995,2022-09-03,39.175,39.175,39.175,39.175,39.085,39.085,39.085,39.085,0.1799999999999997
38.995,38.995,38.995,38.995,2022-09-04,39.175,39.175,39.175,39.175,39.085,39.085,39.085,39.085,0.1799999999999997
38.995,38.995,38.995,38.995,2022-09-05,39.175,39.175,39.175,39.175,39.085,39.085,39.085,39.085,0.1799999999999997
38.875,39.225,38.415,38.515,2022-09-06,39.485,39.795,38.495,38.675,39.18,39.510000000000005,38.455,38.595,0.1599999999999966
37.915,39.515,37.915,39.415,2022-09-07,38.645,39.645,38.295,39.635,38.28,39.58,38.105,39.525,0.2199999999999988
38.965,40.015,38.785,39.865,2022-09-08,39.705,40.105,38.955,40.025,39.335,40.06,38.87,39.945,0.1599999999999966
39.845,40.345,39.535,39.655,2022-09-09,40.455,40.605,39.585,39.775,40.15,40.475,39.56,39.715,0.1199999999999974
39.655,39.655,39.655,39.655,2022-09-10,39.775,39.775,39.775,39.775,39.715,39.715,39.715,39.715,0.1199999999999974
39.655,39.655,39.655,39.655,2022-09-11,39.775,39.775,39.775,39.775,39.715,39.715,39.715,39.715,0.1199999999999974
39.705,40.135,39.455,39.825,2022-09-12,40.185,40.355,39.675,39.985,39.945,40.245,39.565,39.905,0.1599999999999966
38.995,39.375,38.185,38.605,2022-09-13,39.665,39.705,38.295,38.635,39.33,39.54,38.24,38.62,0.0300000000000011
38.035,38.455,37.735,38.325,2022-09-14,38.615,38.685,37.955,38.595,38.325,38.57,37.845,38.46,0.269999999999996
37.995,38.305,37.475,37.585,2022-09-15,38.565,38.585,37.495,37.655,38.28,38.445,37.485,37.620000000000005,0.0700000000000002
37.075,37.565,36.315,36.475,2022-09-16,37.795,37.865,36.435,36.525,37.435,37.715,36.375,36.5,0.0499999999999971
36.475,36.475,36.475,36.475,2022-09-17,36.525,36.525,36.525,36.525,36.5,36.5,36.5,36.5,0.0499999999999971
36.475,36.475,36.475,36.475,2022-09-18,36.525,36.525,36.525,36.525,36.5,36.5,36.5,36.5,0.0499999999999971
36.005,37.155,35.905,37.015,2022-09-19,36.795,37.245,36.265,37.125,36.400000000000006,37.2,36.085,37.07,0.1099999999999994
36.325,36.625,35.895,36.045,2022-09-20,37.075,37.075,35.985,36.115,36.7,36.85,35.94,36.08,0.0700000000000002
35.875,36.575,35.375,35.375,2022-09-21,36.625,36.765,35.515,35.645,36.25,36.67,35.445,35.510000000000005,0.2700000000000031
35.215,35.395,34.775,35.205,2022-09-22,35.625,35.665,34.845,35.365,35.42,35.53,34.81,35.285,0.1600000000000037
34.695,34.715,33.665,34.015,2022-09-23,35.135,35.135,33.715,34.185,34.915,34.925,33.69,34.1,0.1700000000000017
