bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
116.218,116.908,115.467,115.637,2017-11-15,116.262,116.983,115.493,115.663,116.24,116.9455,115.48,115.65,0.0259999999999962
115.768,117.137,115.367,116.548,2017-11-16,115.982,117.153,115.422,116.562,115.875,117.145,115.3945,116.555,0.0139999999999957
115.797,116.828,115.427,115.608,2017-11-17,116.303,116.872,115.562,115.632,116.05,116.85,115.4945,115.62,0.0240000000000009
115.608,115.608,115.608,115.608,2017-11-18,115.632,115.632,115.632,115.632,115.62,115.62,115.62,115.62,0.0240000000000009
115.608,115.608,115.608,115.608,2017-11-19,115.632,115.632,115.632,115.632,115.62,115.62,115.62,115.62,0.0240000000000009
115.607,116.068,115.127,115.987,2017-11-20,115.688,116.102,115.172,116.003,115.6475,116.085,115.1495,115.995,0.0160000000000053
116.107,117.188,115.847,117.097,2017-11-21,116.332,117.203,115.933,117.113,116.2195,117.1955,115.89,117.105,0.0160000000000053
116.958,118.028,116.958,117.868,2017-11-22,117.262,118.082,117.063,117.882,117.11,118.055,117.0105,117.875,0.01400000000001
117.868,117.868,117.868,117.868,2017-11-23,117.882,117.882,117.882,117.882,117.875,117.875,117.875,117.875,0.01400000000001
118.018,118.69,117.747,118.248,2017-11-24,118.972,118.972,117.802,118.262,118.495,118.831,117.7745,118.255,0.0139999999999957
118.248,118.248,118.248,118.248,2017-11-25,118.262,118.262,118.262,118.262,118.255,118.255,118.255,118.255,0.0139999999999957
118.248,118.248,118.248,118.248,2017-11-26,118.262,118.262,118.262,118.262,118.255,118.255,118.255,118.255,0.0139999999999957
117.487,118.388,115.677,117.138,2017-11-27,119.163,119.163,115.703,117.152,118.325,118.7755,115.69,117.145,0.0139999999999957
117.045,119.038,116.497,118.798,2017-11-28,117.303,119.053,116.542,118.822,117.174,119.0455,116.5195,118.81,0.0240000000000009
117.997,123.178,117.997,122.948,2017-11-29,118.753,123.193,118.463,122.962,118.375,123.1855,118.23,122.955,0.01400000000001
