bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
33.7,34.99,33.39,34.277,2020-03-19,33.72,35.01,33.41,34.297,33.71,35.0,33.4,34.287,0.019999999999996
35.22,35.785,33.75,33.82,2020-03-20,35.24,35.805,33.77,33.84,35.230000000000004,35.795,33.760000000000005,33.83,0.0200000000000031
33.82,33.82,33.82,33.82,2020-03-21,33.84,33.84,33.84,33.84,33.83,33.83,33.83,33.83,0.0200000000000031
33.82,33.82,33.82,33.82,2020-03-22,33.84,33.84,33.84,33.84,33.83,33.83,33.83,33.83,0.0200000000000031
33.89,35.09,33.61,34.85,2020-03-23,33.91,35.11,33.63,34.87,33.9,35.1,33.620000000000005,34.86,0.019999999999996
37.07,37.45,36.59,37.23,2020-03-24,37.09,37.47,36.61,37.25,37.08,37.46,36.6,37.24,0.0200000000000031
37.29,37.69,36.316,36.955,2020-03-25,37.31,37.71,36.336,36.975,37.3,37.7,36.326,36.965,0.0200000000000031
37.18,38.74,37.18,38.42,2020-03-26,37.2,38.76,37.2,38.44,37.19,38.75,37.19,38.43,0.019999999999996
37.45,38.39,37.45,37.96,2020-03-27,37.47,38.41,37.47,37.98,37.46,38.4,37.46,37.97,0.019999999999996
37.96,37.96,37.96,37.96,2020-03-28,37.98,37.98,37.98,37.98,37.97,37.97,37.97,37.97,0.019999999999996
37.96,37.96,37.96,37.96,2020-03-29,37.98,37.98,37.98,37.98,37.97,37.97,37.97,37.97,0.019999999999996
38.02,38.992,38.02,38.92,2020-03-30,38.04,39.012,38.04,38.94,38.03,39.002,38.03,38.93,0.019999999999996
38.95,39.39,38.49,38.86,2020-03-31,38.97,39.41,38.51,38.88,38.96,39.4,38.5,38.870000000000005,0.0200000000000031
37.93,38.72,37.47,37.574,2020-04-01,37.95,38.74,37.49,37.594,37.94,38.73,37.48,37.584,0.0200000000000031
37.55,38.91,37.55,38.91,2020-04-02,37.57,38.93,37.57,38.93,37.56,38.92,37.56,38.92,0.0200000000000031
38.75,38.791,37.99,38.29,2020-04-03,38.77,38.811,38.01,38.31,38.760000000000005,38.801,38.0,38.3,0.0200000000000031
38.29,38.29,38.29,38.29,2020-04-04,38.31,38.31,38.31,38.31,38.3,38.3,38.3,38.3,0.0200000000000031
38.29,38.29,38.29,38.29,2020-04-05,38.31,38.31,38.31,38.31,38.3,38.3,38.3,38.3,0.0200000000000031
39.52,40.14,39.203,40.04,2020-04-06,39.54,40.16,39.223,40.06,39.53,40.15,39.213,40.05,0.0200000000000031
41.0,41.0,39.39,39.66,2020-04-07,41.02,41.02,39.41,39.68,41.010000000000005,41.010000000000005,39.4,39.67,0.0200000000000031
39.56,39.91,39.05,39.74,2020-04-08,39.58,39.93,39.07,39.76,39.57,39.92,39.06,39.75,0.019999999999996
40.24,40.49,39.74,39.82,2020-04-09,40.26,40.51,39.76,39.84,40.25,40.5,39.75,39.83,0.0200000000000031
39.82,39.82,39.82,39.82,2020-04-10,39.84,39.84,39.84,39.84,39.83,39.83,39.83,39.83,0.0200000000000031
39.82,39.82,39.82,39.82,2020-04-11,39.84,39.84,39.84,39.84,39.83,39.83,39.83,39.83,0.0200000000000031
39.82,39.82,39.82,39.82,2020-04-12,39.84,39.84,39.84,39.84,39.83,39.83,39.83,39.83,0.0200000000000031
40.02,40.61,39.89,40.59,2020-04-13,40.04,40.63,39.91,40.61,40.03,40.620000000000005,39.9,40.6,0.019999999999996
41.57,41.99,41.286,41.61,2020-04-14,41.59,42.01,41.306,41.63,41.58,42.0,41.296,41.620000000000005,0.0200000000000031
41.41,42.29,41.178,42.08,2020-04-15,41.43,42.31,41.199,42.1,41.42,42.3,41.1885,42.09,0.0200000000000031
42.72,43.11,42.3,42.86,2020-04-16,42.74,43.13,42.32,42.88,42.73,43.120000000000005,42.31,42.870000000000005,0.0200000000000031
43.22,43.22,42.39,42.776,2020-04-17,43.24,43.24,42.41,42.796,43.23,43.23,42.4,42.786,0.019999999999996
42.776,42.776,42.776,42.776,2020-04-18,42.796,42.796,42.796,42.796,42.786,42.786,42.786,42.786,0.019999999999996
42.776,42.776,42.776,42.776,2020-04-19,42.796,42.796,42.796,42.796,42.786,42.786,42.786,42.786,0.019999999999996
42.53,43.106,42.49,42.64,2020-04-20,42.55,43.126,42.51,42.66,42.54,43.116,42.5,42.65,0.019999999999996
42.38,42.38,41.07,41.49,2020-04-21,42.4,42.4,41.09,41.51,42.39,42.39,41.08,41.5,0.019999999999996
42.34,42.73,41.81,42.54,2020-04-22,42.36,42.75,41.83,42.56,42.35,42.74,41.82,42.55,0.0200000000000031
42.91,42.91,42.14,42.295,2020-04-23,42.93,42.93,42.16,42.315,42.92,42.92,42.15,42.305,0.019999999999996
42.43,42.81,42.16,42.64,2020-04-24,42.45,42.83,42.18,42.66,42.44,42.82,42.17,42.65,0.019999999999996
42.64,42.64,42.64,42.64,2020-04-25,42.66,42.66,42.66,42.66,42.65,42.65,42.65,42.65,0.019999999999996
42.64,42.64,42.64,42.64,2020-04-26,42.66,42.66,42.66,42.66,42.65,42.65,42.65,42.65,0.019999999999996
43.02,43.3,42.858,43.09,2020-04-27,43.04,43.32,42.878,43.11,43.03,43.31,42.868,43.1,0.019999999999996
43.66,43.66,42.3,42.3,2020-04-28,43.68,43.68,42.32,42.32,43.67,43.67,42.31,42.31,0.0200000000000031
42.9,43.09,42.487,42.89,2020-04-29,42.92,43.11,42.507,42.91,42.91,43.1,42.497,42.9,0.019999999999996
42.44,42.44,41.59,41.65,2020-04-30,42.46,42.46,41.61,41.67,42.45,42.45,41.6,41.66,0.0200000000000031
41.11,41.4,40.774,40.98,2020-05-01,41.13,41.42,40.794,41.0,41.120000000000005,41.41,40.784,40.99,0.0200000000000031
40.98,40.98,40.98,40.98,2020-05-02,41.0,41.0,41.0,41.0,40.99,40.99,40.99,40.99,0.0200000000000031
40.98,40.98,40.98,40.98,2020-05-03,41.0,41.0,41.0,41.0,40.99,40.99,40.99,40.99,0.0200000000000031
41.01,41.87,41.0,41.87,2020-05-04,41.03,41.89,41.02,41.89,41.02,41.88,41.010000000000005,41.88,0.0200000000000031
42.44,42.7,42.11,42.38,2020-05-05,42.46,42.72,42.13,42.4,42.45,42.71,42.120000000000005,42.39,0.019999999999996
42.6,43.135,42.49,42.67,2020-05-06,42.62,43.155,42.51,42.69,42.61,43.145,42.5,42.68,0.019999999999996
43.45,43.57,43.01,43.36,2020-05-07,43.47,43.59,43.03,43.38,43.46,43.58,43.02,43.370000000000005,0.0200000000000031
43.72,43.97,43.49,43.84,2020-05-08,43.74,43.99,43.51,43.86,43.73,43.98,43.5,43.85,0.019999999999996
43.84,43.84,43.84,43.84,2020-05-09,43.86,43.86,43.86,43.86,43.85,43.85,43.85,43.85,0.019999999999996
43.84,43.84,43.84,43.84,2020-05-10,43.86,43.86,43.86,43.86,43.85,43.85,43.85,43.85,0.019999999999996
43.94,44.69,43.94,44.58,2020-05-11,43.96,44.71,43.96,44.6,43.95,44.7,43.95,44.59,0.0200000000000031
45.12,45.29,44.27,44.27,2020-05-12,45.14,45.31,44.29,44.29,45.13,45.3,44.28,44.28,0.019999999999996
44.44,45.319,44.08,44.49,2020-05-13,44.46,45.339,44.1,44.51,44.45,45.329,44.09,44.5,0.019999999999996
44.17,44.77,43.86,44.77,2020-05-14,44.19,44.79,43.88,44.79,44.18,44.78,43.870000000000005,44.78,0.019999999999996
44.53,45.29,44.25,45.29,2020-05-15,44.55,45.31,44.27,45.31,44.54,45.3,44.260000000000005,45.3,0.0200000000000031
45.29,45.29,45.29,45.29,2020-05-16,45.31,45.31,45.31,45.31,45.3,45.3,45.3,45.3,0.0200000000000031
45.29,45.29,45.29,45.29,2020-05-17,45.31,45.31,45.31,45.31,45.3,45.3,45.3,45.3,0.0200000000000031
45.95,46.34,45.538,46.23,2020-05-18,45.97,46.36,45.558,46.25,45.96,46.35,45.548,46.24,0.0200000000000031
46.06,46.75,45.97,46.27,2020-05-19,46.08,46.77,45.99,46.29,46.07,46.760000000000005,45.98,46.28,0.019999999999996
46.8,47.47,46.79,47.02,2020-05-20,46.82,47.49,46.81,47.04,46.81,47.48,46.8,47.03,0.019999999999996
47.07,47.448,46.63,46.96,2020-05-21,47.09,47.468,46.65,46.98,47.08,47.458,46.64,46.97,0.019999999999996
46.87,47.13,46.49,47.0,2020-05-22,46.89,47.15,46.51,47.02,46.88,47.14,46.5,47.010000000000005,0.0200000000000031
47.0,47.0,47.0,47.0,2020-05-23,47.02,47.02,47.02,47.02,47.010000000000005,47.010000000000005,47.010000000000005,47.010000000000005,0.0200000000000031
47.0,47.0,47.0,47.0,2020-05-24,47.02,47.02,47.02,47.02,47.010000000000005,47.010000000000005,47.010000000000005,47.010000000000005,0.0200000000000031
47.0,47.0,47.0,47.0,2020-05-25,47.02,47.02,47.02,47.02,47.010000000000005,47.010000000000005,47.010000000000005,47.010000000000005,0.0200000000000031
47.92,47.93,46.84,46.93,2020-05-26,47.94,47.95,46.86,46.95,47.93,47.94,46.85,46.94,0.0200000000000031
46.7,46.7,44.96,46.0,2020-05-27,46.72,46.72,44.98,46.02,46.71,46.71,44.97,46.010000000000005,0.0200000000000031
45.72,46.53,45.65,45.73,2020-05-28,45.74,46.55,45.67,45.75,45.73,46.54,45.66,45.74,0.0200000000000031
46.09,47.38,45.99,47.38,2020-05-29,46.11,47.4,46.01,47.4,46.1,47.39,46.0,47.39,0.019999999999996
47.38,47.38,47.38,47.38,2020-05-30,47.4,47.4,47.4,47.4,47.39,47.39,47.39,47.39,0.019999999999996
47.38,47.38,47.38,47.38,2020-05-31,47.4,47.4,47.4,47.4,47.39,47.39,47.39,47.39,0.019999999999996
47.63,48.24,47.39,48.2,2020-06-01,47.65,48.26,47.41,48.22,47.64,48.25,47.4,48.21,0.019999999999996
48.35,48.61,47.865,48.61,2020-06-02,48.37,48.63,47.885,48.63,48.36,48.620000000000005,47.875,48.620000000000005,0.0200000000000031
48.71,48.71,47.99,48.14,2020-06-03,48.73,48.73,48.01,48.16,48.72,48.72,48.0,48.15,0.019999999999996
