bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
56.506,60.747,54.796,57.296,2022-05-13,58.694,61.343,55.013,57.764,57.6,61.045,54.9045,57.53,0.4680000000000035
57.296,57.296,57.296,57.296,2022-05-14,57.764,57.764,57.764,57.764,57.53,57.53,57.53,57.53,0.4680000000000035
57.296,57.296,57.296,57.296,2022-05-15,57.764,57.764,57.764,57.764,57.53,57.53,57.53,57.53,0.4680000000000035
55.446,57.707,50.486,50.826,2022-05-16,60.314,60.314,50.633,50.934,57.88,59.0105,50.5595,50.88,0.1079999999999969
50.787,55.177,49.966,54.957,2022-05-17,52.453,55.384,50.653,55.213,51.620000000000005,55.2805,50.3095,55.085,0.2560000000000002
52.007,53.056,47.076,47.607,2022-05-18,53.733,53.733,47.203,47.853,52.87,53.3945,47.1395,47.73,0.2460000000000022
46.406,52.177,46.406,49.666,2022-05-19,48.624,52.374,47.873,49.854,47.515,52.2755,47.1395,49.76,0.1880000000000024
50.076,51.726,47.786,51.287,2022-05-20,52.004,52.194,48.023,51.743,51.04,51.96,47.9045,51.515,0.456000000000003
51.287,51.287,51.287,51.287,2022-05-21,51.743,51.743,51.743,51.743,51.515,51.515,51.515,51.515,0.456000000000003
51.287,51.287,51.287,51.287,2022-05-22,51.743,51.743,51.743,51.743,51.515,51.515,51.515,51.515,0.456000000000003
49.827,50.616,46.536,50.247,2022-05-23,52.563,52.563,46.773,50.433,51.195,51.5895,46.6545,50.34,0.1859999999999999
47.957,48.486,45.027,45.246,2022-05-24,50.673,50.674,45.173,45.734,49.315,49.58,45.1,45.49,0.4879999999999995
45.216,51.107,45.086,50.067,2022-05-25,46.394,51.264,45.994,50.293,45.805,51.185500000000005,45.54,50.18,0.2259999999999991
50.446,57.226,50.187,56.007,2022-05-26,51.934,57.394,51.124,56.343,51.19,57.31,50.6555,56.175,0.3360000000000056
56.456,59.367,54.577,59.047,2022-05-27,56.874,59.494,55.783,59.083,56.665000000000006,59.4305,55.18,59.065,0.0360000000000013
59.047,59.047,59.047,59.047,2022-05-28,59.083,59.083,59.083,59.083,59.065,59.065,59.065,59.065,0.0360000000000013
59.047,59.047,59.047,59.047,2022-05-29,59.083,59.083,59.083,59.083,59.065,59.065,59.065,59.065,0.0360000000000013
59.047,59.047,59.047,59.047,2022-05-30,59.083,59.083,59.083,59.083,59.065,59.065,59.065,59.065,0.0360000000000013
57.337,59.916,55.347,59.517,2022-05-31,59.503,60.713,55.564,59.763,58.42,60.3145,55.4555,59.64,0.2459999999999951
58.087,60.447,55.836,57.137,2022-06-01,61.693,62.814,56.043,57.313,59.89,61.6305,55.9395,57.225,0.1760000000000019
57.396,65.627,56.976,63.717,2022-06-02,60.644,65.804,57.754,63.963,59.02,65.71549999999999,57.365,63.84,0.2460000000000022
61.116,61.116,57.586,58.267,2022-06-03,61.824,61.824,57.783,58.373,61.47,61.47,57.6845,58.32,0.1059999999999945
58.267,58.267,58.267,58.267,2022-06-04,58.373,58.373,58.373,58.373,58.32,58.32,58.32,58.32,0.1059999999999945
58.267,58.267,58.267,58.267,2022-06-05,58.373,58.373,58.373,58.373,58.32,58.32,58.32,58.32,0.1059999999999945
58.267,58.267,58.267,58.267,2022-06-06,58.373,58.373,58.373,58.373,58.32,58.32,58.32,58.32,0.1059999999999945
58.267,58.267,58.267,58.267,2022-06-07,58.373,58.373,58.373,58.373,58.32,58.32,58.32,58.32,0.1059999999999945
54.607,58.247,54.297,56.367,2022-06-08,56.073,58.593,55.253,56.783,55.34,58.42,54.775,56.575,0.4160000000000039
55.347,56.717,53.057,53.836,2022-06-09,57.393,57.393,53.223,53.974,56.370000000000005,57.055,53.14,53.905,0.1379999999999981
51.717,53.077,49.666,51.327,2022-06-10,52.993,54.913,49.844,51.653,52.355,53.995,49.755,51.49,0.3260000000000005
51.327,51.327,51.327,51.327,2022-06-11,51.653,51.653,51.653,51.653,51.49,51.49,51.49,51.49,0.3260000000000005
51.327,51.327,51.327,51.327,2022-06-12,51.653,51.653,51.653,51.653,51.49,51.49,51.49,51.49,0.3260000000000005
47.517,50.726,47.306,47.856,2022-06-13,49.993,51.293,47.463,47.954,48.755,51.0095,47.3845,47.905,0.0979999999999989
47.217,49.096,45.876,46.946,2022-06-14,48.393,49.414,46.153,47.284,47.805,49.255,46.0145,47.115,0.3380000000000009
47.706,50.337,47.196,48.567,2022-06-15,49.054,50.603,47.653,48.973,48.38,50.47,47.4245,48.77,0.4059999999999988
46.006,46.597,43.626,43.967,2022-06-16,47.994,47.994,43.794,44.113,47.0,47.2955,43.71,44.04,0.1460000000000008
45.567,46.557,44.636,45.787,2022-06-17,45.893,46.743,44.874,45.893,45.73,46.650000000000006,44.755,45.84,0.1060000000000016
45.787,45.787,45.787,45.787,2022-06-18,45.893,45.893,45.893,45.893,45.84,45.84,45.84,45.84,0.1060000000000016
45.787,45.787,45.787,45.787,2022-06-19,45.893,45.893,45.893,45.893,45.84,45.84,45.84,45.84,0.1060000000000016
45.787,45.787,45.787,45.787,2022-06-20,45.893,45.893,45.893,45.893,45.84,45.84,45.84,45.84,0.1060000000000016
