bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
198.366,207.446,198.366,204.837,2022-05-13,216.614,216.614,202.733,206.313,207.49,212.03,200.5495,205.575,1.475999999999999
204.837,204.837,204.837,204.837,2022-05-14,206.313,206.313,206.313,206.313,205.575,205.575,205.575,205.575,1.475999999999999
204.837,204.837,204.837,204.837,2022-05-15,206.313,206.313,206.313,206.313,205.575,205.575,205.575,205.575,1.475999999999999
201.227,205.906,201.226,203.477,2022-05-16,209.083,209.083,202.984,204.283,205.155,207.4945,202.105,203.88,0.8059999999999832
202.736,207.317,202.736,206.247,2022-05-17,220.034,220.034,204.343,207.703,211.385,213.6755,203.5395,206.975,1.4559999999999889
203.606,205.806,201.266,202.166,2022-05-18,218.304,218.304,202.063,202.934,210.955,212.055,201.6645,202.55,0.7680000000000007
200.577,202.916,198.706,200.097,2022-05-19,202.783,205.674,199.274,200.883,201.68,204.295,198.99,200.49,0.7860000000000014
201.516,202.727,192.487,198.526,2022-05-20,204.414,205.273,193.093,199.254,202.965,204.0,192.79,198.89,0.7279999999999802
198.526,198.526,198.526,198.526,2022-05-21,199.254,199.254,199.254,199.254,198.89,198.89,198.89,198.89,0.7279999999999802
198.526,198.526,198.526,198.526,2022-05-22,199.254,199.254,199.254,199.254,198.89,198.89,198.89,198.89,0.7279999999999802
199.166,204.907,196.446,203.437,2022-05-23,205.194,205.404,198.404,204.813,202.18,205.1555,197.425,204.125,1.3759999999999764
195.736,204.276,195.736,202.947,2022-05-24,212.514,212.514,200.483,203.273,204.125,208.395,198.1095,203.11,0.3259999999999934
200.866,204.647,193.576,201.237,2022-05-25,210.924,210.924,200.813,202.703,205.895,207.7855,197.1945,201.97,1.4660000000000082
202.217,208.697,201.416,207.497,2022-05-26,209.323,209.323,203.514,208.173,205.77,209.01,202.465,207.835,0.6759999999999877
209.046,214.557,205.826,214.217,2022-05-27,209.994,222.644,209.403,215.343,209.52,218.6005,207.6145,214.78,1.1259999999999764
214.217,214.217,214.217,214.217,2022-05-28,215.343,215.343,215.343,215.343,214.78,214.78,214.78,214.78,1.1259999999999764
214.217,214.217,214.217,214.217,2022-05-29,215.343,215.343,215.343,215.343,214.78,214.78,214.78,214.78,1.1259999999999764
214.217,214.217,214.217,214.217,2022-05-30,215.343,215.343,215.343,215.343,214.78,214.78,214.78,214.78,1.1259999999999764
