bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
3.45,3.647,3.45,3.536,2020-03-25,3.47,3.667,3.47,3.556,3.46,3.657,3.46,3.5460000000000003,0.02
3.558,3.672,3.512,3.657,2020-03-26,3.578,3.692,3.532,3.677,3.568,3.682,3.522,3.667,0.02
3.67,3.703,3.535,3.551,2020-03-27,3.69,3.723,3.555,3.571,3.68,3.713,3.545,3.561,0.02
3.551,3.551,3.551,3.551,2020-03-28,3.571,3.571,3.571,3.571,3.561,3.561,3.561,3.561,0.02
3.551,3.551,3.551,3.551,2020-03-29,3.571,3.571,3.571,3.571,3.561,3.561,3.561,3.561,0.02
3.676,3.676,3.513,3.563,2020-03-30,3.696,3.696,3.533,3.583,3.686,3.686,3.523,3.5730000000000004,0.02
3.671,3.671,3.582,3.607,2020-03-31,3.691,3.691,3.602,3.627,3.681,3.681,3.592,3.617,0.0199999999999995
3.492,3.492,3.38,3.407,2020-04-01,3.512,3.512,3.4,3.427,3.502,3.502,3.39,3.417,0.02
3.304,3.407,3.292,3.355,2020-04-02,3.324,3.427,3.312,3.375,3.314,3.417,3.302,3.365,0.02
3.397,3.397,3.287,3.287,2020-04-03,3.417,3.417,3.307,3.307,3.407,3.407,3.297,3.297,0.02
3.287,3.287,3.287,3.287,2020-04-04,3.307,3.307,3.307,3.307,3.297,3.297,3.297,3.297,0.02
3.287,3.287,3.287,3.287,2020-04-05,3.307,3.307,3.307,3.307,3.297,3.297,3.297,3.297,0.02
3.445,3.502,3.418,3.479,2020-04-06,3.465,3.522,3.438,3.499,3.455,3.512,3.428,3.489,0.02
3.671,3.709,3.663,3.663,2020-04-07,3.691,3.729,3.683,3.683,3.681,3.719,3.673,3.673,0.02
3.68,3.68,3.602,3.673,2020-04-08,3.7,3.7,3.622,3.693,3.69,3.69,3.612,3.683,0.02
3.836,3.848,3.74,3.829,2020-04-09,3.856,3.868,3.76,3.849,3.846,3.858,3.75,3.839,0.02
3.829,3.829,3.829,3.829,2020-04-10,3.849,3.849,3.849,3.849,3.839,3.839,3.839,3.839,0.02
3.829,3.829,3.829,3.829,2020-04-11,3.849,3.849,3.849,3.849,3.839,3.839,3.839,3.839,0.02
3.829,3.829,3.829,3.829,2020-04-12,3.849,3.849,3.849,3.849,3.839,3.839,3.839,3.839,0.02
3.829,3.829,3.829,3.829,2020-04-13,3.849,3.849,3.849,3.849,3.839,3.839,3.839,3.839,0.02
3.979,3.98,3.825,3.866,2020-04-14,3.999,4.0,3.845,3.886,3.989,3.99,3.835,3.876,0.02
3.89,3.89,3.718,3.724,2020-04-15,3.91,3.91,3.738,3.744,3.9,3.9,3.728,3.734,0.02
