bid_open,bid_high,bid_low,bid_close,datetime,ask_open,ask_high,ask_low,ask_close,open,high,low,close,spread_close
143.498,144.638,143.118,143.607,2018-02-01,143.712,144.662,143.142,143.623,143.605,144.65,143.13,143.615,0.0159999999999911
142.248,142.998,140.638,140.677,2018-02-02,143.042,143.042,140.653,140.693,142.64499999999998,143.01999999999998,140.6455,140.685,0.0160000000000195
140.677,140.677,140.677,140.677,2018-02-03,140.693,140.693,140.693,140.693,140.685,140.685,140.685,140.685,0.0160000000000195
140.677,140.677,140.677,140.677,2018-02-04,140.693,140.693,140.693,140.693,140.685,140.685,140.685,140.685,0.0160000000000195
139.488,141.298,134.947,135.187,2018-02-05,139.762,141.323,135.102,135.263,139.625,141.3105,135.0245,135.22500000000002,0.0759999999999934
132.507,138.378,132.087,138.048,2018-02-06,133.363,138.423,132.202,138.102,132.935,138.4005,132.1445,138.075,0.054000000000002
137.327,139.558,137.117,137.117,2018-02-07,137.953,139.583,137.133,137.133,137.64,139.57049999999998,137.125,137.125,0.0160000000000195
137.157,137.338,131.728,131.747,2018-02-08,137.593,137.593,131.782,131.793,137.375,137.4655,131.755,131.77,0.0459999999999922
133.128,134.788,129.047,133.667,2018-02-09,133.262,134.853,129.082,133.693,133.195,134.8205,129.0645,133.68,0.0260000000000104
133.667,133.667,133.667,133.667,2018-02-10,133.693,133.693,133.693,133.693,133.68,133.68,133.68,133.68,0.0260000000000104
133.667,133.667,133.667,133.667,2018-02-11,133.693,133.693,133.693,133.693,133.68,133.68,133.68,133.68,0.0260000000000104
134.517,136.747,133.987,135.898,2018-02-12,135.123,136.772,134.032,135.932,134.82,136.7595,134.0095,135.915,0.0339999999999918
135.078,136.678,134.958,136.418,2018-02-13,135.302,136.702,134.963,136.462,135.19,136.69,134.9605,136.44,0.0439999999999827
135.598,138.617,135.598,138.458,2018-02-14,135.882,138.643,135.722,138.472,135.74,138.63,135.66000000000005,138.465,0.01400000000001
139.337,140.377,137.987,140.367,2018-02-15,139.583,140.403,138.062,140.383,139.45999999999998,140.39,138.0245,140.375,0.0160000000000195
140.037,141.448,139.947,140.237,2018-02-16,140.342,141.463,139.973,140.243,140.1895,141.4555,139.96,140.24,0.0060000000000002
140.237,140.237,140.237,140.237,2018-02-17,140.243,140.243,140.243,140.243,140.24,140.24,140.24,140.24,0.0060000000000002
140.237,140.237,140.237,140.237,2018-02-18,140.243,140.243,140.243,140.243,140.24,140.24,140.24,140.24,0.0060000000000002
140.237,140.237,140.237,140.237,2018-02-19,140.243,140.243,140.243,140.243,140.24,140.24,140.24,140.24,0.0060000000000002
139.317,141.057,139.317,139.907,2018-02-20,139.992,141.103,139.372,139.923,139.65449999999998,141.07999999999998,139.3445,139.91500000000002,0.0159999999999911
139.998,141.748,139.318,139.337,2018-02-21,140.562,141.773,139.352,139.363,140.28,141.76049999999998,139.335,139.35,0.0260000000000104
139.468,140.767,139.217,139.597,2018-02-22,140.012,140.793,139.252,139.602,139.74,140.78,139.23450000000005,139.5995,0.0049999999999954
140.218,141.808,139.968,141.797,2018-02-23,140.522,141.832,139.992,141.823,140.37,141.82,139.98,141.81,0.0260000000000104
141.797,141.797,141.797,141.797,2018-02-24,141.823,141.823,141.823,141.823,141.81,141.81,141.81,141.81,0.0260000000000104
141.797,141.797,141.797,141.797,2018-02-25,141.823,141.823,141.823,141.823,141.81,141.81,141.81,141.81,0.0260000000000104
142.377,143.418,142.167,143.348,2018-02-26,142.483,143.433,142.213,143.372,142.43,143.4255,142.19,143.36,0.0240000000000009
143.377,143.678,141.577,141.597,2018-02-27,143.833,143.833,141.612,141.643,143.60500000000002,143.75549999999998,141.59449999999998,141.62,0.0459999999999922
142.048,142.538,140.347,140.388,2018-02-28,142.302,142.613,140.373,140.452,142.175,142.5755,140.36,140.42000000000002,0.0639999999999929
140.278,141.058,137.257,138.377,2018-03-01,140.523,141.112,137.322,138.393,140.4005,141.08499999999998,137.2895,138.385,0.0159999999999911
136.977,139.458,136.548,139.187,2018-03-02,137.192,139.493,136.612,139.212,137.0845,139.4755,136.57999999999998,139.1995,0.0249999999999772
139.187,139.187,139.187,139.187,2018-03-03,139.212,139.212,139.212,139.212,139.1995,139.1995,139.1995,139.1995,0.0249999999999772
139.187,139.187,139.187,139.187,2018-03-04,139.212,139.212,139.212,139.212,139.1995,139.1995,139.1995,139.1995,0.0249999999999772
138.258,141.038,138.247,140.717,2018-03-05,138.502,141.063,138.312,140.732,138.38,141.0505,138.2795,140.7245,0.0149999999999863
141.308,141.358,140.287,141.217,2018-03-06,141.463,141.463,140.352,141.253,141.38549999999998,141.4105,140.3195,141.235,0.0359999999999729
139.297,141.647,139.297,141.478,2018-03-07,140.123,141.693,140.052,141.502,139.70999999999998,141.67000000000002,139.6745,141.49,0.0240000000000009
141.647,142.298,141.358,142.197,2018-03-08,141.943,142.343,141.422,142.232,141.79500000000002,142.32049999999998,141.39,142.2145,0.0349999999999965
142.678,144.688,142.678,144.678,2018-03-09,143.542,144.703,142.953,144.702,143.11,144.69549999999998,142.8155,144.69,0.0240000000000009
144.678,144.678,144.678,144.678,2018-03-10,144.702,144.702,144.702,144.702,144.69,144.69,144.69,144.69,0.0240000000000009
144.678,144.678,144.678,144.678,2018-03-11,144.702,144.702,144.702,144.702,144.69,144.69,144.69,144.69,0.0240000000000009
144.847,145.268,144.427,144.728,2018-03-12,145.003,145.313,144.482,144.743,144.925,145.2905,144.4545,144.7355,0.0149999999999863
145.047,145.667,143.327,143.667,2018-03-13,145.512,145.753,143.353,143.703,145.27949999999998,145.70999999999998,143.34,143.685,0.0360000000000013
144.038,144.268,142.748,143.188,2018-03-14,144.352,144.453,142.822,143.212,144.195,144.3605,142.785,143.2,0.0240000000000009
143.337,143.938,142.697,143.088,2018-03-15,143.742,143.973,142.732,143.112,143.53949999999998,143.9555,142.7145,143.1,0.0240000000000009
143.337,143.665,143.047,143.137,2018-03-16,143.662,143.713,143.083,143.145,143.4995,143.689,143.065,143.14100000000002,0.0080000000000097
143.137,143.137,143.137,143.137,2018-03-17,143.145,143.145,143.145,143.145,143.14100000000002,143.14100000000002,143.14100000000002,143.14100000000002,0.0080000000000097
143.137,143.137,143.137,143.137,2018-03-18,143.145,143.145,143.145,143.145,143.14100000000002,143.14100000000002,143.14100000000002,143.14100000000002,0.0080000000000097
142.117,142.248,139.828,140.928,2018-03-19,142.693,142.693,139.892,140.945,142.405,142.47050000000002,139.86,140.9365,0.0169999999999959
140.998,141.787,140.837,141.458,2018-03-20,141.223,141.832,140.903,141.482,141.1105,141.8095,140.87,141.47,0.0240000000000009
141.158,142.327,140.587,140.877,2018-03-21,141.832,142.483,140.672,140.903,141.495,142.405,140.6295,140.89,0.025999999999982
139.097,139.498,136.698,136.777,2018-03-22,139.423,139.582,136.722,136.803,139.26,139.54,136.71,136.79,0.0260000000000104
136.968,137.488,133.817,133.927,2018-03-23,137.073,137.533,133.852,133.963,137.0205,137.51049999999998,133.8345,133.945,0.0360000000000013
133.927,133.927,133.927,133.927,2018-03-24,133.963,133.963,133.963,133.963,133.945,133.945,133.945,133.945,0.0360000000000013
133.927,133.927,133.927,133.927,2018-03-25,133.963,133.963,133.963,133.963,133.945,133.945,133.945,133.945,0.0360000000000013
135.808,138.017,134.507,137.858,2018-03-26,136.512,138.052,134.562,137.892,136.16,138.03449999999998,134.5345,137.875,0.0339999999999918
138.377,138.548,133.737,134.627,2018-03-27,138.723,138.723,133.782,134.683,138.55,138.6355,133.7595,134.655,0.0559999999999831
134.447,135.557,133.157,133.948,2018-03-28,134.723,135.633,133.223,133.992,134.585,135.595,133.19,133.97,0.0439999999999827
133.907,137.188,133.907,136.068,2018-03-29,134.753,137.253,134.032,136.112,134.32999999999998,137.2205,133.9695,136.09,0.0439999999999827
136.068,136.068,136.068,136.068,2018-03-30,136.112,136.112,136.112,136.112,136.09,136.09,136.09,136.09,0.0439999999999827
